职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
平面设计专员,6000-7000元,"VI设计
广告设计
方案设计
AI
PS
C4D",3-5年,本科,天津·河西,天津天明教育科技有限公司,"学校/下级学院
         
          20-99人
         
          学校/学历教育"
平面设计,6000-8000元,"方案设计
排版设计
PS",1-3年,大专,天津·宁河·造甲城,嘉顺达蓝海(天津)物流有限公司,"合资
         
          100-299人
         
          货运/物流/仓储"
平面设计师,6000-8000元,"方案设计
电商设计",1-3年,大专,天津·武清·梅厂,台铃科技股份有限公司,"民营
         
          1000-9999人
         
          新能源"
美工平面设计,5000-6000元,"包装设计
PS
AI
CDR
美工",3-5年,学历不限,天津·武清·东蒲洼,亚太华德(天津)新材料科技有限公司,"民营
         
          20-99人
         
          贸易/进出口"
平面设计,5000-6000元,"PS
AI
CDR
广告设计",1-3年,大专,天津·津南·葛沽,天津核生,"民营
         
          100-299人
         
          生物工程"
设计兼职20/h,3000-5000元,"平面设计
品牌设计
广告设计
包装设计
PS
AI",经验不限,大专,天津·和平·五大道,天津晟鑫达信息技术有限公司,"民营
         
          20-99人
         
          互联网"
平面设计,5000-8000元,,1-3年,大专,天津·西青·精武镇,世韩(天津)节能环保科技有限公司,"民营
         
          100-299人
         
          环保"
资深平面设计师,5000-7000元,"广告设计
方案设计",1-3年,本科,天津·河西·陈塘庄,石家庄市星河广告有限公司,"民营
         
          20-99人
         
          广告/营销"
平面设计岗,3000-5000元,"包装设计
排版设计",1年以下,大专,天津·东丽·无瑕,天津运通世佳商贸有限公司,"民营
         
          300-499人
         
          零售/批发"
平面设计,4000-6000元,"标识导视设计
广告设计
PS
AI
ID
包装设计",1-3年,大专,天津·和平·南市,天津禧悦汇酒店管理有限公司,"民营
         
          100-299人
         
          酒店/民宿"
餐饮设计师,8000-15000元,"方案设计
VI设计
包装设计
手绘板",经验不限,大专,天津·红桥·西于庄,天津小谷顿餐饮管理服务有限公司,"民营
         
          20-99人
         
          餐饮服务"
平面设计人员,6000-8000元,"PS
CAD
AI",经验不限,大专,天津·宁河·造甲城,碧昇(天津)包装科技有限公司,"民营
         
          20-99人
         
          印刷/包装/造纸"
商业平面设计岗,6000-10000元,平面设计,1-3年,本科,天津·河西,天津政昕资产运营管理有限公司,"20-99人
         
          房地产开发"
文创设计师（天津）,6000-8000元,"PS
AI
CAD
包装设计",1-3年,本科,天津·河东·春华,《留学》杂志社有限责任公司,"其它
         
          20-99人
         
          新闻/出版"
平面设计,4000-6000元·13薪,"广告设计
包装设计
电商设计",1-3年,本科,天津·津南·双港,天津森玺食品发展有限公司,"民营
         
          100-299人
         
          电子商务"
ppt美化工程师,6000-8000元,PS,1-3年,大专,天津·南开·嘉陵道,天津平云电力科技有限公司,"民营
         
          100-299人
         
          电力/水利/热力/燃气"
平面设计师,6000-9000元,PS,1-3年,本科,天津·津南·北闸口,天津银河阀门有限公司,"合资
         
          500-999人
         
          电气机械/电力设备"
平面设计,7000-10000元,"AI
标志设计
PS",经验不限,本科,天津·红桥·西于庄,天津小谷顿餐饮管理服务有限公司,"民营
         
          20-99人
         
          餐饮服务"
平面设计师（手机美化方向）,5000-8000元,"PS
AI",经验不限,本科,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
平面设计助理,4000-8000元,VI设计,1-3年,大专,天津·东丽·无瑕,天津运通世佳商贸有限公司,"民营
         
          300-499人
         
          零售/批发"
平面设计,4000-7000元,"AI
CDR
电商美工
摄影培训
品牌设计
画册设计",经验不限,本科,天津·滨海新区·大沽,天津天航智远科技有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
平面设计师助理,4000-6000元,"AI
PS
CAD
方案设计
广告设计",经验不限,大专,天津·北辰·青光,天津泰岳科技有限公司,"其它
         
          20-99人
         
          广告/营销"
CAD平面设计师,4000-6000元,"CAD
平面设计
施工图、效果图
设计师
视觉设计
美工",经验不限,大专,天津·南开·水上公园,天津宏立达鑫茂科技发展有限公司,"民营
         
          20-99人
         
          农/林/牧/渔"
品牌视觉设计师,5000-8000元,"PS
AI
AE",经验不限,本科,天津·西青·张家窝,天津卓漫科技有限公司,"民营
         
          500-999人
         
          互联网"
平面设计兼运维专员,7000-10000元,"排版设计
方案设计
UI设计
PS
AI
CAD",1-3年,大专,天津·静海·大丰堆,天津生机集团股份有限公司,"其它
         
          100-299人
         
          医药制造"
平面设计,3000-5000元,,1年以下,学历不限,天津·咸水沽,天津重新燃起新媒体科技有限公司,"20-99人
         
          新媒体"
电动车贴花设计,7000-10000元,"PS
AI
CDR",3-5年,本科,天津·北辰·小淀,无锡小刀电动科技股份有限公司,"民营
         
          1000-9999人
         
          摩托车/自行车制造"
资深平面设计师,5000-8000元,方案设计,3-5年,本科,天津·南开·长虹,天津尚渔味餐饮管理有限公司,"民营
         
          1000-9999人
         
          餐饮服务"
平面设计,5000-8000元,,3-5年,大专,天津·武清·徐官屯,未来已来(天津)企业管理有限公司,"其它
         
          500-999人
         
          零售/批发"
全案设计,7000-8000元,"广告设计
PS
AI",3-5年,大专,天津·河西·天塔,天津镜界至合文化传播有限公司,"20-99人
         
          广告/营销"
初级设计,4000-6000元,"排版设计
PS
AI",1-3年,大专,天津·东丽·华明,万星在线科技(天津)有限公司,"100-299人
         
          互联网"
产品设计,5000-7000元,"广告设计
包装设计",1-3年,本科,天津·北辰·小淀,天津脆升升食品有限公司,"民营
         
          300-499人
         
          食品/饮料"
品牌视觉设计师（助理）,4000-8000元,方案设计,经验不限,本科,天津·静海·双塘,爱玛科技集团股份有限公司,"上市公司
         
          10000人以上
         
          通用设备制造"
初级平面设计,4000-6000元,"PS
AI",1-3年,大专,天津·东丽·华明,万星在线科技(天津)有限公司,"100-299人
         
          互联网"
平面设计,8000-15000元,,5-10年,本科,天津·河西·友谊路,天津华兰教育管理有限公司,"民营
         
          500-999人
         
          学校/学历教育"
品牌平面设计师,6000-8000元,"广告设计
包装设计
排版设计
PS
AI
设计师
视觉设计",1-3年,大专,天津·滨海新区·杭州道,烫卤江湖(天津)食品科技有限公司,"民营
         
          20-99人
         
          餐饮服务"
市场平面设计专员,7000-9000元,排版设计,5-10年,大专,天津·南开·鼓楼,北京明润万家商业管理有限公司,"民营
         
          100-299人
         
          房地产开发"
平面设计,4000-5000元,"PS
排版设计",1-3年,本科,天津·南开·长虹,天津尚渔味餐饮管理有限公司,"民营
         
          1000-9999人
         
          餐饮服务"
平面设计[天津-东丽区],4000-7000元,美术设计,1-3年,大专,天津·东丽·华明,天津圣翰优印图文设计制作有限公司,"民营
         
          20-99人
         
          广告/营销"
平面设计助理,2000-3000元,"PS
ID
C4D
排版设计
广告设计
包装设计",1-3年,大专,天津·河西·尖山,梵臻(天津)文化创意有限公司,"民营
         
          20人以下
         
          建筑设计"
电商设计师/平面设计,7000-10000元,"电商设计
广告设计",1-3年,本科,天津·武清·东蒲洼,元一(天津)生物科技有限公司,"民营
         
          20-99人
         
          生物工程"
平面设计,6000-8000元,"广告设计
包装设计
排版设计",5-10年,本科,天津·武清·黄庄,天津箭牌石油化工有限公司,"合资
         
          20-99人
         
          化学原料/化学制品"
平面设计师,8000-12000元,包装设计,经验不限,本科,天津·东丽·金桥,欧诺(天津)印刷包装有限公司,"民营
         
          300-499人
         
          印刷/包装/造纸"
平面设计及线上运营,4000-5000元,,1年以下,大专,天津·东丽·万新,天津市童梦园儿童游乐有限公司,"民营
         
          100-299人
         
          文化艺术/娱乐"
UI设计实习生(J10942),面议,,无经验,本科,天津·南开·万兴,津药达仁堂集团股份有限公司,"上市公司
         
          1000-9999人
         
          医药制造"
平面设计,3000-4000元,"VI设计
方案设计
广告设计
PS
AI",无经验,大专,天津·北辰·普东,天津和合农益集团有限公司,"民营
         
          20-99人
         
          零售/批发"
平面设计,6000-8000元,"AI
PS",1-3年,大专,天津·宁河·造甲城,金玖(天津)科技有限公司,"100-299人
         
          摩托车/自行车制造"
平面设计师,4000-6000元,"视觉设计
包装设计
延展设计
户外广告设计
画册设计
VI设计",1-3年,大专,天津·南开·万兴,天津涵韵文化传媒有限公司,"民营
         
          20-99人
         
          广告/营销"
文员设计助理,6000-12000元,"IT/互联网
电子商务
游戏
包装设计
品牌设计
VI设计
影视行业
广告业",经验不限,学历不限,天津·南开·王顶堤,天津贝初文化传媒有限公司,"民营
         
          20-99人
         
          广播/影视"
文创设计师（实习生）,150-200元/天,"PS
手绘
文创",无经验,大专,天津·南开·长虹,南京仪岱安慷文化科技产业发展有限公司天津分公司,"外商独资
         
          20-99人
         
          计算机软件"
平面设计,6000-10000元,"VI设计
包装设计
广告设计",3-5年,大专,天津·南开·广开,天津美航联众文化传播有限公司,"民营
         
          20-99人
         
          广告/营销"
平面设计,6000-8000元,"包装设计
PS
AI",经验不限,本科,天津·东丽·金桥,欧诺(天津)印刷包装有限公司,"民营
         
          300-499人
         
          印刷/包装/造纸"
美工平面设计（双休、五险一金）,4000-8000元,"VI设计
广告设计
UI设计
PS",1-3年,大专,天津·滨海新区·杭州道,天津风领智服科技有限责任公司,"100-299人
         
          互联网"
平面设计师,6000-8000元·14薪,平面设计,1-3年,本科,天津·南开·体育中心,卡本科技集团股份有限公司,"股份制企业
         
          100-299人
         
          房地产开发"
平面设计,6000-10000元·13薪,"排版设计
PS
AI
广告设计",3-5年,本科,天津·河东·常州道,浙江华洋赛车股份有限公司天津分公司,"上市公司
         
          500-999人
         
          摩托车/自行车制造"
平面设计,3000-6000元,"广告设计
VI设计",经验不限,大专,天津·南开·水上公园,天津雅淇医疗美容有限公司,"20-99人
         
          医美/健康服务"
平面设计（工作地点在宝坻）,6000-10000元,"PS
AI
AE
VI设计
标识导视设计
电商设计",1-3年,本科,天津·宝坻·史各庄,天津视华隆精密科技有限公司,"民营
         
          20-99人
         
          企业服务"
ppt设计师,5000-7000元·13薪,"设计师
PS
AI
CAD
VI设计
UI设计",1-3年,大专,天津·河东·春华,北京中能广联科技有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
文创设计师（擅长手绘）,150-200元/天,"PS
AI",无经验,大专,天津·南开·长虹,南京仪岱安慷文化科技产业发展有限公司天津分公司,"外商独资
         
          20-99人
         
          计算机软件"
品牌设计师,7000-12000元,"乙方公司
AI
PS",1-3年,大专,天津·北辰·青光,天津泰岳科技有限公司,"其它
         
          20-99人
         
          广告/营销"
平面设计,4000-6000元,"广告设计
展板设计
海报设计
界面设计",经验不限,本科,天津·武清·东蒲洼,天津武清区万达商业管理有限公司,"上市公司
         
          100-299人
         
          企业服务"
平面设计师,5000-8000元,"VI设计
包装设计
电商设计
PS
AI
AE",经验不限,大专,天津·西青·大寺,晨初豆益(天津)食品有限公司,"民营
         
          20-99人
         
          农副产品加工制造"
自行车贴花设计,4000-6000元,包装设计,1-3年,中专/中技,天津·河西·陈塘庄,天津逸林湾进出口有限公司,"民营
         
          20人以下
         
          贸易/进出口"
文创产品设计,6000-10000元,广告设计,3-5年,本科,天津·河西·陈塘庄,亚富格(天津)集团有限公司,"民营
         
          20-99人
         
          专业技术服务"
服装品牌视觉设计师,6000-10000元,方案设计,3-5年,大专,天津·武清·汊沽港,优诺公司,"外商独资
         
          1000-9999人
         
          耐用消费品"
