职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
天津国网客服中心-驻场产品经理岗,1-1.8万,"数据产品
AI产品
NLP产品
智能问答产品
大模型产品",5-10年,本科,天津·东丽·东丽湖,江苏蕴蓝信息科技有限公司,"20-99人
         
          计算机软件"
高级产品经理- B端业务平台,1-1.5万,"AI产品
电商产品",5-10年,本科,天津·西青·张家窝,柯瑞柯林工业系统集成(天津)有限公司,"民营
         
          100-299人
         
          电子商务"
产品经理,1.2-2万,"软件产品
商业化产品
增长产品",3-5年,本科,天津·东丽·华明,未来电视有限公司,"国企
         
          500-999人
         
          互联网"
日化产品经理,6000-12000元,精细化工产品,5-10年,本科,天津·西青·中北,天津市伟力洗涤用品有限公司,"民营
         
          20-99人
         
          石油/石化"
无创通气产品经理(J10320),2-3万,无创通气呼吸机,5-10年,本科,天津·武清·东蒲洼,北京瑞迈特医疗科技股份有限公司,"民营
         
          500-999人
         
          医疗设备/器械"
营销数字化平台经理(J11115),面议,,3-5年,本科,天津·南开·万兴,津药达仁堂集团股份有限公司,"上市公司
         
          1000-9999人
         
          医药制造"
海外产品经理,8000-16000元,硬件产品,3-5年,本科,天津·津南·双港,北京宏博亚泰电气设备有限公司,"股份制企业
         
          20-99人
         
          IT服务"
产品经理（阀门）,1.2-1.7万,,3-5年,本科,天津·津南·北闸口,天津银河阀门有限公司,"合资
         
          500-999人
         
          电气机械/电力设备"
产品经理,9000-13000元·13薪,"TO B
产品设计
产品规划
需求分析
用户研究
产品团队管理
产品运营
市场调研",5-10年,本科,天津·南开·长虹,大连智帆科技有限公司,"民营
         
          20-99人
         
          计算机软件"
产品经理 Product Manager,8000-12000元,,3-5年,本科,天津·东丽·华明,天津市克兰鹰航空科技有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
产品经理,1-1.5万,硬件产品,3-5年,本科,天津·西青·大寺,天津宜科自动化股份有限公司,"股份制企业
         
          500-999人
         
          工业自动化"
心理学产品主管,7000-10000元,,3-5年,本科,天津·河东·唐家口,天津圣安米悦健康信息咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
生信产品经理,1.2-2万,产品经理,3-5年,硕士,天津·武清·东蒲洼,北京擎科生物科技股份有限公司,"股份制企业
         
          1000-9999人
         
          专业技术服务"
产品线负责人（产品经理）,2-2.5万,机械设计,5-10年,本科,天津·武清·东蒲洼,北京铁力山科技股份有限公司,"民营
         
          500-999人
         
          计算机硬件"
高级产品经理（皮科）(J11170),2-3万,,10年以上,本科,天津·滨海新区·杭州道,津药药业股份有限公司,"上市公司
         
          1000-9999人
         
          医药制造"
产品经理/产品工程师（车服方向）,6000-12000元·14薪,软件产品,3-5年,本科,天津·静海·双塘,爱玛科技集团股份有限公司,"上市公司
         
          10000人以上
         
          通用设备制造"
数字化产品经理,1-1.2万,"汽车行业质量领域从业背景
汽车质量领域业务管理及数字化技术",经验不限,本科,天津·西青·中北,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,"外商独资
         
          500-999人
         
          运营商/增值服务"
产品经理,1.5-2万,TO B,1-3年,大专,天津·南开·学府,天津腾智计算机销售有限公司,"股份制企业
         
          20人以下
         
          IT服务"
产品经理,8000-10000元,,3-5年,大专,天津·武清·东马圈,天津皇冠幕墙装饰股份有限公司,"股份制企业
         
          100-299人
         
          工程施工"
汽车产品经理,1.2-1.5万,,3-5年,本科,天津·西青·中北,广州碧软,"股份制企业
         
          500-999人
         
          计算机软件"
产品经理,9000-11000元,,经验不限,本科,天津·西青·中北,萤火创世(天津)科技有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
产品开发经理,1.2-2万,,5-10年,大专,天津·滨海新区·杭州道,和能人居科技集团股份有限公司,"民营
         
          500-999人
         
          非金属矿物制品业"
产品经理（机械/化工/材料专业+英语流利）,1.2-2万·15薪,产品规划,3-5年,本科,天津·西青·大寺,蒂普拓普,"外商独资
         
          500-999人
         
          橡胶和塑料制品"
生信产品经理,1.5-2.5万,"生信云平台
生信数据分析
生信与AI技术",3-5年,硕士,天津·武清·东蒲洼,北京擎科生物科技股份有限公司,"股份制企业
         
          1000-9999人
         
          专业技术服务"
产品经理,1.3-2万,AI产品,3-5年,本科,天津·滨海新区·北塘,菲特(天津)检测技术有限公司,"民营
         
          300-499人
         
          检测/认证"
无损检测设备产品经理,1-1.3万·13薪,硬软件结合产品,3-5年,本科,天津·西青·大寺,天津存昊科技有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
产品经理,1.6-2.1万,"数据产品
策略产品",3-5年,大专,天津·和平·小白楼,中美联泰大都会人寿保险有限公司上海分公司,"外商独资
         
          10000人以上
         
          保险"
产品经理岗,1.2-2万·15薪,,5-10年,硕士,天津·西青·张家窝,中汽新能电池科技,"股份制企业
         
          1000-9999人
         
          电子/半导体/集成电路"
产品经理（施肥机）,1.5-2万,硬件产品,5-10年,本科,天津·武清·大王古庄,大禹节水集团股份有限公司,"上市公司
         
          1000-9999人
         
          电力/水利/热力/燃气"
产品经理,1-1.5万,,3-5年,本科,天津·南开·水上公园,天津市政工程设计研究总院有限公司,"国企
         
          1000-9999人
         
          工程技术与设计服务"
产品经理（雅迪三轮车）-天津,8000-12000元·13薪,,3-5年,大专,天津·北辰·双口,雅迪科技集团有限公司天津分公司,"民营
         
          1000-9999人
         
          汽车研发/制造"
产品经理,1.2-2万,,1-3年,本科,天津·武清·大王古庄,安闻科技集团股份有限公司,"民营
         
          1000-9999人
         
          汽车研发/制造"
产品经理（英语+汽车后市场）,1-1.8万·15薪,,3-5年,本科,天津·西青·大寺,蒂普拓普,"外商独资
         
          500-999人
         
          橡胶和塑料制品"
休闲食品 产品经理,1-1.5万,产品经理,3-5年,大专,天津·武清·徐官屯,天津怡浓食品有限公司,"股份制企业
         
          100-299人
         
          快速消费品"
产品经理（高级电气工程师）,1.7-2万,"智慧服务
智能制造
智慧家居",5-10年,本科,天津·武清·东蒲洼,北京铁力山科技股份有限公司,"民营
         
          500-999人
         
          计算机硬件"
产品经理,8000-15000元,"水产动保
产品研发",3-5年,硕士,天津·宝坻·史各庄,通威集团,"上市公司
         
          10000人以上
         
          新能源"
Power Semiconductor Product Engineering Manager,3-5万,"6-SIGMA
宽带隙半导体器件",10年以上,硕士,天津·滨海新区·杭州道,通用半导体（中国）有限公司,"外商独资
         
          1000-9999人
         
          电子/半导体/集成电路"
产品经理,1.2-1.7万,"工业装配
胶粘剂产品经理",1-3年,硕士,天津·西青·王稳庄,铠博新材料(天津)有限公司,"民营
         
          20-99人
         
          化工"
产品经理（家居）,7000-12000元,"市场调研
用户研究
产品运营",5-10年,本科,天津·东丽·华明,漾美家居集团有限公司,"民营
         
          100-299人
         
          耐用消费品"
产品经理（双休、高收入、晋升机会）,1.1-2万·13薪,"英语
海外产品
产品规划
需求分析
产品设计
用户研究
产品运营
产品团队管理
市场调研
墨刀
TO B",3-5年,本科,天津·滨海新区·杭州道,天津挺汇集团有限公司,"股份制企业
         
          100-299人
         
          农/林/牧/渔"
产品开发项目经理（机械类）,1.5-2.5万,智慧服务,5-10年,本科,天津·武清·东蒲洼,北京铁力山科技股份有限公司,"民营
         
          500-999人
         
          计算机硬件"
产品经理,1.5-2.5万,,5-10年,本科,天津·河东·春华,天津永泰红磡健康产业发展集团有限公司,"20-99人
         
          房地产开发"
产品经理（生物大健康方向）,2-2.5万,,5-10年,本科,天津·西青·西营门,中源协和,"上市公司
         
          100-299人
         
          医药制造"
产品经理,1.2-2万,,5-10年,本科,天津·东丽·新立,天津小虎科技集团有限公司,"民营
         
          100-299人
         
          摩托车/自行车制造"
产品经理,8000-12000元,"容器设计
产品设计
容器包装行业",5-10年,本科,天津·北辰·大张庄,长荣集团,"上市公司
         
          1000-9999人
         
          电气机械/电力设备"
产品管理岗,1.3-2.6万,,1-3年,本科,天津·滨海新区·新北,青禾晶元半导体科技(集团)有限责任公司,"民营
         
          100-299人
         
          电子/半导体/集成电路"
产品经理（家具类）,8000-15000元,电商产品,3-5年,本科,天津·河西·挂甲寺,天津港保税区伊润国际贸易有限公司,"合资
         
          100-299人
         
          贸易/进出口"
产品经理实习生,150-200元/天,"AI产品
软件产品",无经验,本科,天津·西青·张家窝,中教智网(北京)信息技术有限公司,"民营
         
          300-499人
         
          专业技术服务"
产品开发经理（宠物、家畜疫苗）,1.3-2万,"家畜疫苗
宠物疫苗",3-5年,硕士,天津·东丽·华明,瑞普生物,"上市公司
         
          1000-9999人
         
          医药制造"
产品推广经理,面议,工业产品,5-10年,本科,天津·武清·东蒲洼,万可电子（天津）有限公司,"外商独资
         
          1000-9999人
         
          仪器仪表制造"
