职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
产品经理,4000-6000元,需求分析,1-3年,本科,天津·西青·中北,天津函式科技有限公司,"民营
         
          20-99人
         
          计算机软件"
产品经理,1-1.5万,"需求分析
项目管理
Axure
墨刀
TO B
TO G",3-5年,本科,天津·南开·学府,博雅创智,"民营
         
          100-299人
         
          计算机软件"
产品经理（五险一金）,1.5-2.5万,"医美产品
医美项目
医美诊疗流程
医美行业工作经验",3-5年,硕士,天津·西青·西营门,天津嘉氏堂科技有限公司,"民营
         
          500-999人
         
          日化产品制造"
产品经理,7000-13000元·13薪,软件产品,3-5年,本科,天津·东丽·华明,天津京涛海纳科技有限公司,"民营
         
          20-99人
         
          计算机软件"
产品经理,1-1.2万·13薪,"数据产品
智慧服务
策略产品
搜索产品
定价策略产品
推荐产品
智慧园区
智能制造
智慧交通
数据中台产品
数据后台产品
大数据产品",3-5年,本科,天津·南开·鼓楼,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
产品经理（五险一金）,1.5-2.5万,"医美产品
医美项目
医美诊疗流程
医美行业工作经验",3-5年,硕士,天津·滨海新区·寨上,天津嘉氏堂科技有限公司,"民营
         
          500-999人
         
          日化产品制造"
SGS质优生（产品经理方向）,1.2-1.5万,自动化,无经验,硕士,天津·滨海新区·杭州道,SGS,"合资
         
          10000人以上
         
          检测/认证"
产品经理,1-2万,,经验不限,硕士,天津·东丽·华明,理工雷科电子(天津)有限公司,"民营
          
          电子/半导体/集成电路"
市场产品经理（实习）,100-200元/天,"硬件产品
脑-机接口
需求分析和产品设计
有较强的沟通表达能力",无经验,本科,天津·南开·学府,燧世(天津)智能科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
IT项目经理,7000-14000元,项目管理,1-3年,本科,天津·河东·上杭路,中国通信建设集团设计院有限公司,"国企
         
          1000-9999人
         
          运营商/增值服务"
微电网产品经理,1.2-1.8万,软件产品,1-3年,硕士,天津·河北·光复道,恒华科技,"股份制企业
         
          1000-9999人
         
          计算机软件"
医疗产品经理（薪资面议）,8000-15000元,"硬件产品
医疗产品
脑科学
神经工程
重症医学",1-3年,本科,天津·南开·学府,燧世(天津)智能科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
pm产品经理,1-1.5万·13薪,"硬件产品
软件产品",3-5年,本科,天津·西青·精武镇,爱易成技术(天津)有限公司,"民营
         
          20-99人
         
          IT服务"
产品经理/助理产品经理（营养健康方向）,7000-13000元,,1-3年,本科,天津·滨海新区·北塘,杭州云检医学科技有限公司,"民营
         
          20-99人
         
          医药制造"
科研产品经理（可实习）,7000-13000元,"软件产品
硬件产品
生物医学工程
人机交互
心理学
神经工程",经验不限,硕士,天津·南开·学府,燧世(天津)智能科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
产品主管,6000-8000元·13薪,,5-10年,大专,天津·东丽·军粮城,天津创源生物技术有限公司,"合资
         
          300-499人
         
          医药制造"
产品经理,1-1.5万,"需求分析
产品规划
软件产品
硬件产品
MES系统
项目管理",5-10年,本科,天津·东丽·新立,天津图易科技有限公司,"民营
         
          20人以下
         
          物联网"
产品管理,1.6-2.4万,"数据产品
策略产品
商业化产品",1-3年,本科,天津·和平·小白楼,中美联泰大都会人寿保险有限公司上海分公司,"外商独资
         
          10000人以上
         
          保险"
产品经理,1.1-2万,"B端产品
产品经理
软件产品
智慧实验室管理系统",3-5年,本科,天津·西青·张家窝,天津市基理科技股份有限公司,"民营
         
          100-299人
         
          互联网"
产品经理,8000-12000元,,3-5年,本科,天津·西青·中北,天津易商数智科技有限公司,"100-299人
         
          互联网"
产品经理（物联网/弱电）,8000-12000元,智慧服务,3-5年,大专,天津·滨海新区·北塘,国通智能科技,"民营
         
          20-99人
         
          物联网"
产品经理,7000-12000元,"软件产品
数据产品
MES系统
硬件产品",3-5年,大专,天津·东丽·军粮城,北京京城智通机器人科技有限公司,"民营
         
          100-299人
         
          工业自动化"
产品研发经理,2-4万,户外产品研发,3-5年,本科,天津·北辰·双口,天津军鑫科技发展有限公司,"民营
         
          100-299人
         
          互联网"
产品经理（丝杠导轨）,6000-12000元,,3-5年,大专,天津·北辰·天穆,天津仁和信恒工业控制技术有限公司,"其它
         
          20-99人
         
          零售/批发"
产品经理,1-2万,,3-5年,大专,天津·静海·子牙,天津金美尚科技有限责任公司,"股份制企业
         
          100-299人
         
          汽车研发/制造"
就业产品经理,8000-16000元·13薪,"软件产品
AI产品
大模型产品",3-5年,本科,天津·西青·张家窝,中教智网(北京)信息技术有限公司,"民营
         
          300-499人
         
          专业技术服务"
互联网产品经理,1.5-2.5万·14薪,"软件产品
AI产品
数据产品
数据治理产品
数据后台产品
数据中台产品
ERP系统
CRM系统
OA系统",3-5年,大专,天津·西青·西营门,北京佰智创新科技有限公司,"20-99人
         
          人工智能"
产品经理,1-1.5万,"工业自动化
电子元器件
传感器
编码器
连接器
总线模块",3-5年,本科,天津·西青·大寺,天津宜科自动化股份有限公司,"股份制企业
         
          500-999人
         
          工业自动化"
驻场产品经理,1.5-3万,软件产品,经验不限,本科,天津·东丽·万新,北京思创贯宇科技开发有限公司,"民营
         
          100-299人
         
          医疗设备/器械"
初级产品经理,6000-8000元,"Axure
墨刀",1-3年,本科,天津·南开·兴南,荣联汇智,"民营
         
          100-299人
         
          印刷/包装/造纸"
教学仪器产品经理,8000-12000元,硬件产品,1-3年,本科,天津·武清·东蒲洼,天津微度技术有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
产品经理(医疗大健康),1-1.5万,"需求分析
产品运营
产品设计
软件产品
增长产品
商业化产品",3-5年,大专,天津·滨海新区·北塘,天津蓝卡健康科技有限公司,"民营
         
          300-499人
         
          在线医疗"
产品经理,3000-6000元,,无经验,学历不限,天津·滨海新区·大沽,哈尔滨芷羽意商贸店(个人独资),"20人以下
         
          零售/批发"
水下设备产品经理,8000-12000元,硬件产品,1-3年,本科,天津·武清·东蒲洼,天津微度技术有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
产品经理,1-1.5万,"软件产品
商业化产品
电商产品",3-5年,大专,天津·滨海新区·北塘,天津蓝卡健康科技有限公司,"民营
         
          300-499人
         
          在线医疗"
产品经理,1-1.5万,"电网工作经验
编写文档能力强",3-5年,本科,天津·东丽·华明,江苏蕴蓝信息科技有限公司,"20-99人
         
          计算机软件"
产品经理（天津）,1-2万,软件产品,无经验,硕士,天津·河东·春华,国能日新科技股份有限公司,"上市公司
         
          500-999人
         
          电力/水利/热力/燃气"
汽车行业产品经理,6000-10000元,,1-3年,本科,天津·东丽·无瑕,中智天津人力资源服务有限公司,"国企
         
          20-99人
         
          专业技术服务"
产品经理,1-1.5万,"企划
产品调研
产品落地",3-5年,大专,天津·河东·上杭路,天津宇晟智能科技发展有限公司,"民营
         
          20-99人
         
          家具制造"
b端产品经理,100-150元/天,"AI产品
数据产品",无经验,本科,天津·津南·咸水沽,天津森跃星智慧科技有限公司,"民营
         
          20-99人
         
          计算机软件"
产品经理,7000-10000元,"软件产品
硬件产品
AI产品
大模型产品",5-10年,本科,天津·滨海新区·北塘,科芯(天津)生态农业科技有限公司,"其它
         
          20-99人
         
          农/林/牧/渔"
产品经理,4000-8000元,硬件产品,3-5年,高中,天津·宁河·造甲城,天津市渤三角电子发展有限公司,"民营
         
          20-99人
         
          互联网"
产品经理,1.5-1.8万·16薪,"数据产品
策略产品",3-5年,本科,天津·静海·大丰堆,爱玛科技集团股份有限公司,"上市公司
         
          10000人以上
         
          通用设备制造"
连锁产品官,3.5-4.5万,,10年以上,本科,天津·河东·富民路,天津市河东区丽滋卡尔中西医结合医院有限公司,"民营
         
          500-999人
         
          医院"
产品经理,8000-12000元,硬件产品,1-3年,大专,天津·津南·双港,北京宏博亚泰电气设备有限公司,"股份制企业
         
          20-99人
         
          IT服务"
非标产品经理,1.3-1.8万,"Axure
MINDMANAGER
原型设计
项目管理工具
Sketch",3-5年,本科,天津·河东·东新,天津国环节能科技有限公司,"民营
         
          20-99人
         
          环保"
产品经理,8000-13000元,"电气自动化
传感器
编码器
Solidworks
AutoCAD
过程控制
机械工程及自动化",1-3年,本科,天津·西青·张家窝,海茵兰茨(天津)工业技术有限公司,"合资
         
          20-99人
         
          专用设备制造"
产品经理,8000-12000元,,5-10年,本科,天津·东丽·新立,天津天富坤成食品有限公司,"合资
         
          100-299人
         
          快速消费品"
机械产品经理,2-2.5万,"机械设计
产品全周期管理",5-10年,本科,天津·武清·东蒲洼,北京铁力山科技股份有限公司,"民营
         
          500-999人
         
          计算机硬件"
会员产品经理,1.2-2万,"会员产品
增长产品
策略产品
营销产品",3-5年,本科,天津·东丽·华明,未来电视有限公司,"国企
         
          500-999人
         
          互联网"
