职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
好岗位等你来挑战＋早九晚六＋双休法休＋公司提供精准客户资源＋社区经营,面议,"KA大客户
个人客户
渠道销售
门店销售",经验不限,大专,天津·武清·运河西,中国平安,"上市公司
         
          10000人以上
         
          银行"
客户经理,7000-10000元,"院校客户
企业客户
KA大客户
电话销售
渠道销售
网络销售",1-3年,本科,天津·南开·广开,企运(天津)人力资源服务有限公司,"民营
         
          100-299人
         
          人力资源服务"
武清-五险一金/双休/优质客户资源下发/家门口上班不内卷,1.6-2万,"KA大客户
企业客户
个人客户",1-3年,大专,天津·武清·运河西,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
「(09:00-17:00)周末双休+法定节假日带薪休假+绝不加班+六险一金,面议,"绝不加班 带薪休假
领导可爱同事暖心
五险一金",经验不限,学历不限,天津·西青·中北,中国平安,"上市公司
         
          10000人以上
         
          银行"
天津西青-优才培养计划（车险客户经理）岗位招聘，月薪8K-1w,8000-11000元,"企业客户
电话销售
KA大客户
个人客户
网络销售
保险行业",无经验,大专,天津·西青·张家窝,天津汇聚人力资源服务有限公司,"民营
         
          1000-9999人
         
          咨询服务"
周末双休+绝不加班+法休带薪+六险一金,7000-13000元,,1-3年,大专,天津·静海·静海镇,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
「(09:00-17:00)周末双休+法定节假日带薪休假+绝不加班+六险一金,面议,"绝不加班 带薪休假
领导可爱同事暖心
五险一金",经验不限,学历不限,天津·武清·运河西,中国平安,"上市公司
         
          10000人以上
         
          银行"
优才培养计划(车险客户经理)（25/24届本科生，8K-1w）,8000-11000元,"企业客户
个人客户
电话销售
网络销售
门店销售
应届毕业生优先",无经验,本科,天津·西青·张家窝,天津汇聚人力资源服务有限公司,"民营
         
          1000-9999人
         
          咨询服务"
周末双休+绝不加班+法休带薪+六险一金,8000-16000元,,1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
「(09:00-17:00)周末双休+法定节假日带薪休假+绝不加班+六险一金,面议,"绝不加班 带薪休假
领导可爱同事暖心
五险一金",经验不限,学历不限,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
绿色建材销售经理,6000-10000元,"绿色建材销售经理
绿色建材客户经理",3-5年,大专,天津·西青·西营门,圣戈尔彩麟(天津)建材科技有限公司,"民营
         
          100-299人
         
          金属制品业"
周末双休+绝不加班+法休带薪+六险一金,8000-16000元,,1-3年,大专,天津·武清·徐官屯,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理,8000-12000元·13薪,,3-5年,本科,天津·东丽·华明,天津京涛海纳科技有限公司,"民营
         
          20-99人
         
          计算机软件"
职域对公客户经理（提供企业资源）（二大区）,8000-12000元,"企业客户
医疗机构
机构客户",1-3年,大专,天津·和平·小白楼,泰康养老保险股份有限公司天津分公司,"民营
         
          100-299人
         
          保险"
周末双休+绝不加班+法休带薪+六险一金,8000-16000元,,1-3年,大专,天津·西青·中北,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
（销售）客户经理,5000-10000元,,经验不限,大专,天津·南开·嘉陵道,天津平云电力科技有限公司,"民营
         
          100-299人
         
          电力/水利/热力/燃气"
周末双休＋高净值客户资源＋节日福利（公司氛围好 不加班）,面议,,3-5年,大专,天津·西青·中北,中国平安,"上市公司
         
          10000人以上
         
          银行"
周末双休+绝不加班+法休带薪+六险一金,8000-16000元,,1-3年,大专,天津·河西·大营门,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
养老社区销售,1.5-2万,"KA大客户
个人客户
政府客户
电话销售
渠道销售
面销/陌拜
基金从业资格证
保险从业资格证
银行从业资格证",经验不限,本科,天津·和平·小白楼,泰康人寿保险有限责任公司,"股份制企业
         
          10000人以上
         
          保险"
周末双休＋高净值客户资源＋节日福利（公司氛围好 不加班）,面议,,3-5年,大专,天津·河西·大营门,中国平安,"上市公司
         
          10000人以上
         
          银行"
大港-五险一金/双休/客户经理/收入有保障,1-1.7万,"KA大客户
企业客户
个人客户",1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
资深养老顾问,面议,"KA大客户
个人客户
政府客户
老客户维护
渠道销售
会销
银行从业资格证
证券从业资格证
基金从业资格证",经验不限,大专,天津·和平·小白楼,泰康人寿保险有限责任公司,"股份制企业
         
          10000人以上
         
          保险"
周末双休＋高净值客户资源＋节日福利（公司氛围好 不加班）,面议,,3-5年,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
