职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
双休社区维护+朝九晚六+月均1w 梦中情岗，就是你想要的好工作,9000-16000元,"企业客户
KA大客户
个人客户
面销/陌拜
网络销售
电话销售",经验不限,大专,天津·宝坻·宝平,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理,4000-8000元,"院校客户
医疗客户
金融客户",无经验,本科,天津·西青·西营门,天津鹏安数迅科技有限公司,"民营
         
          100-299人
         
          建筑设备安装"
周末双休＋高净值客户资源＋节日福利（公司氛围好 不加班）,面议,,3-5年,大专,天津·武清·徐官屯,中国平安,"上市公司
         
          10000人以上
         
          银行"
北辰-13K-16K /双休/五险一金/集团客户资源下发/收入稳定提升快,1.3-1.6万,"KA大客户
企业客户
个人客户",1-3年,大专,天津·北辰·天穆,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
天津大港客户经理,7000-12000元,"门店销售
渠道销售",1-3年,学历不限,天津·滨海新区·古林,河北卯时贸易有限公司,"股份制企业
         
          20-99人
         
          贸易/进出口"
天津武清-五险一金/双休/下发客户资源/收入有保障,面议,,1-3年,大专,天津·武清·徐官屯,中国平安,"上市公司
         
          10000人以上
         
          银行"
双休社区维护+朝九晚六+月均1w 梦中情岗，就是你想要的好工作,9000-16000元,"企业客户
KA大客户
个人客户
面销/陌拜
网络销售
电话销售",经验不限,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
ka大客户经理(线缆/综合布线/视频监控),8000-15000元,,3-5年,大专,天津·河东·大王庄,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
静海/五险一金\双休\高客资源\收入稳定,面议,"个人客户
KA大客户
面销/陌拜
渠道销售",1-3年,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
客户经理（化妆品）,5000-10000元·13薪,,1-3年,本科,天津·滨海新区·寨上,天津嘉氏堂科技有限公司,"民营
         
          500-999人
         
          日化产品制造"
快乐双休/六险一金/精准客户/收入1.5W+,面议,"个人客户
企业客户
面销",1-3年,大专,天津·河西·大营门,中国平安,"上市公司
         
          10000人以上
         
          银行"
五险一金+给客资+社区网格+双休不加班,8000-13000元,"五险一金
不接受居家办公
周末双休
有一定销售性质
无需坐班",1-3年,大专,天津·滨海新区·杭州道,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
项目经理,6000-12000元,"面销/陌拜
网络销售
地推",1-3年,大专,天津·河东·大王庄,上海大国华玺实业集团有限公司,"民营
         
          1000-9999人
         
          投资/融资"
周末双休+法定节假日带薪休假+不加班+五险一金,面议,,1-3年,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
北辰-五险一金 双休 优质客户下发 不加班,1.3-2.5万,,1-3年,大专,天津·北辰·天穆,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
高级客户经理,8000-10000元,"证券
理财
高净值客户资源
KA大客户
渠道销售
电话销售
面销/陌拜
保险从业资格证
基金从业资格证
证券从业资格证",3-5年,大专,天津·和平·小白楼,北京九鼎言人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
天津武清-双休 五险一金 收入保障,面议,"销售
续保
理赔
寿险
医疗险
车险产品
面销/陌拜
五险一金
双休
朝九晚六",1-3年,大专,天津·武清·徐官屯,中国平安,"上市公司
         
          10000人以上
         
          银行"
平安社区网格综合金融高级经理（保险+销售）朝九晚六,6000-12000元,"渠道销售
面销/陌拜
综合金融",经验不限,大专,天津·西青·中北,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
社区金融专员+双休+保底+五险一金（河西/河东/静海/西青/宝坻/滨海/武清）,1-1.5万,"社区
网格",1-3年,大专,天津·武清·运河西,中国平安人寿保险股份有限公司天津分公司3,"上市公司
         
          1000-9999人
         
          保险"
急招！！高薪！！（9:00-17:00）时间自由+固定双休 + 拒绝加班 +六险一金 +月入2W+ 西青,面议,"KA大客户
企业客户
个人客户
电话销售
网络销售
渠道销售",经验不限,大专,天津·西青·中北,中国平安,"上市公司
         
          10000人以上
         
          银行"
平安社区网格综合金融高级经理（保险+销售）朝九晚六,6000-12000元,"渠道销售
面销/陌拜
综合金融",经验不限,大专,天津·静海·静海镇,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理/年薪25w+/外勤打卡,1-2万,"KA大客户
企业客户
个人客户
电话销售
面销/陌拜
渠道销售
制造业
制造租赁",1-3年,本科,天津·河东·上杭路,天津勇林劳务派遣有限公司,"股份制企业
         
          500-999人
         
          人力资源服务"
急招！！高薪！！（9:00-17:00）时间自由+固定双休 + 拒绝加班 +六险一金 +月入2W+静海,面议,"KA大客户
企业客户
个人客户
电话销售
网络销售
渠道销售",经验不限,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
五险一金+给客资+社区网格+双休不加班,8000-13000元,"五险一金
不接受居家办公
周末双休
有一定销售性质
无需坐班",1-3年,大专,天津·河西·大营门,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理/年薪25w+/外勤打卡,1-2万,"KA大客户
企业客户
个人客户
电话销售
面销/陌拜
渠道销售
制造业
制造租赁",1-3年,本科,天津·滨海新区·北塘,天津勇林劳务派遣有限公司,"股份制企业
         
          500-999人
         
          人力资源服务"
BK81IB-天津分行个贷客户经理（自营）,面议,,1-3年,本科,天津,平安银行股份有限公司,"上市公司
         
          10000人以上
         
          银行"
五险一金+给客资+社区网格+双休不加班,8000-13000元,"五险一金
不接受居家办公
周末双休
有一定销售性质
无需坐班",1-3年,大专,天津·武清·徐官屯,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
新能源重卡客户经理,7000-14000元·13薪,"政府客户
企业客户
KA大客户
渠道销售
门店销售
面销/陌拜",3-5年,大专,天津·西青·精武镇,三一集团有限公司,"民营
         
          10000人以上
         
          专用设备制造"
客户经理,7000-13000元,"KA大客户
企业客户
个人客户
代理商销售
区域销售
渠道销售",1-3年,大专,天津·红桥·邵公庄,企运(天津)人力资源服务有限公司,"民营
         
          10000人以上
         
          人力资源服务"
五险一金+给客资+社区网格+双休不加班,8000-13000元,"五险一金
不接受居家办公
周末双休
有一定销售性质
无需坐班",1-3年,大专,天津·西青·中北,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
BK72IH-天津分行综拓经理,面议,,1-3年,本科,天津,平安银行股份有限公司,"上市公司
         
          10000人以上
         
          银行"
综合金融客户经理,5000-10000元,"网络销售
保险主播",经验不限,学历不限,天津·西青·西营门,金诚国际保险经纪有限公司天津分公司,"股份制企业
         
          300-499人
         
          保险"
五险一金+给客资+社区网格+双休不加班,8000-13000元,"五险一金
不接受居家办公
周末双休
有一定销售性质
无需坐班",1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
招一个上班搭子 底薪7000无考核,7000-12000元,"办公室坐班
无KPI",无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
政府关系客户经理,5000-10000元,"政府客户
院校客户
招标代理",3-5年,大专,天津·河东·大王庄,天津滨德招标代理有限公司,"民营
         
          20-99人
         
          咨询服务"
北辰-12K-25K 双休 五险一金 收入稳定提升快,1.5-2万,"KA大客户
企业客户
个人客户
网络销售
面销/陌拜
渠道销售",1-3年,大专,天津·河西·大营门,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
银行对公客户经理,1.1-1.6万·15薪,"企业客户
KA大客户",3-5年,本科,天津·和平·小白楼,百川无忧信息科技(天津)有限公司,"股份制企业
         
          20-99人
         
          人力资源服务"
银行渠道经理,8000-16000元,,经验不限,本科,天津·和平·南市,交通银行信用卡中心,"国企
         
          10000人以上
         
          银行"
大港-双休 五险一金 代编制招满既停 客户资源下发,1.5-2万,"KA大客户
企业客户
个人客户
网络销售
渠道销售
面销/陌拜",1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
对公服务经理（六险二金，一大区）,6000-12000元,"个人客户
企业客户",经验不限,大专,天津·和平·小白楼,泰康养老保险股份有限公司天津分公司,"民营
         
          100-299人
         
          保险"
团险客户经理（天津）(J10036),1-2万·16薪,企业客户,5-10年,本科,天津·河西·陈塘庄,三星财产保险(中国)有限公司,"合资
         
          500-999人
         
          保险"
五险一金+周末双休+高级网格专员,8000-15000元,"法定节假日休息
含销售性质
早九晚六",1-3年,大专,天津·静海·静海镇,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理 贝壳找房平台 负责为客户提供安家计划,8000-16000元,"KA大客户
个人客户
电话销售
网络销售
渠道销售",经验不限,学历不限,天津·滨海新区·大沽,贝壳找房(北京)科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
车险大客户销售岗（天津）(J10191),1-2万·16薪,渠道销售,5-10年,大专,天津·河西·陈塘庄,三星财产保险(中国)有限公司,"合资
         
          500-999人
         
          保险"
五险一金+周末双休+高级网格专员,8000-15000元,"不接受居家办公
周末双休
法定节假日休息",1-3年,大专,天津·西青·中北,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
【急招！客户资源不用愁】社区网格综合金融高级经理/周末双休/朝九晚六,6000-12000元,"个人客户
企业客户
渠道销售
面销/陌拜
网络销售",经验不限,大专,天津·静海·静海镇,上海金麦穗信息技术集团有限公司,"上市公司
         
          10000人以上
         
          银行"
企业助贷客户经理+周末双休不加班+公司提供资源,6000-12000元,,1年以下,中专/中技,天津·南开·万兴,天津亿嘉亿企业管理咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
【高级网格专员】五险一金/周末双休/早九晚六/不加班,9000-12000元,,1-3年,大专,天津·河西·大营门,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
综合金融客户经理,1-1.2万,"KA大客户
个人客户
企业客户
电话销售
面销/陌拜",1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司天津分公司3,"上市公司
         
          1000-9999人
         
          保险"
家庭金融服务经理,1.1-1.6万,"企业客户
个人客户
电话销售
网络销售
渠道销售",经验不限,大专,天津·武清·徐官屯,中国平安人寿保险股份有限公司天津分公司(争霸团队),"股份制企业
         
          500-999人
         
          保险"
【高级网格专员】五险一金/周末双休/早九晚六/不加班,9000-12000元,,1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
急招！！高薪！时间自由+固定双休 （9:00-17:00） 绝不加班+ 六险一金 月入2W+ 北辰,面议,"KA大客户
企业客户
个人客户
电话销售
网络销售
渠道销售",经验不限,大专,天津·河西·桃园,中国平安,"上市公司
         
          10000人以上
         
          银行"
客户经理 周末双休 法休,8000-11000元,全职,经验不限,大专,天津·河东·春华,大连市众焱人力资源管理有限公司,"其它
         
          20-99人
         
          人力资源服务"
【高级网格专员】五险一金/周末双休/早九晚六/不加班,9000-12000元,,1-3年,大专,天津·武清·徐官屯,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理（轻钢）,8000-13000元,"KA大客户
企业客户
个人客户",5-10年,本科,天津·西青·精武镇,长江精工(上海)建筑科技有限公司,"上市公司
         
          500-999人
         
          工程施工"
客户经理（人力资源方向）,6000-10000元,,1-3年,本科,天津·河北·光复道,山东华科信息技术有限公司,"民营
         
          300-499人
         
          IT服务"
社区网格金融经理,8000-14000元,个人客户,经验不限,大专,天津·静海·静海镇,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
五险一金\双休\不加班\集团优质客户下发,面议,KA大客户,1-3年,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
客户经理,1-1.5万,"客户经理
银行",1-3年,本科,天津·河东·大王庄,兴业银行股份有限公司天津河东支行,"其它
         
          500-999人
         
          互联网"
宝坻 五险一金 双休 客户资源下发,1-2万,"销售
综合金融",1-3年,大专,天津·宝坻·宝平,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理,8000-14000元,"渠道销售
KA大客户
政府客户
面销/陌拜",1-3年,本科,天津·静海·大邱庄,天津友发管道科技有限公司,"300-499人
         
          钢铁/有色金属冶炼及加工"
业务经理,1.3-2.3万,"面销/陌拜
渠道销售",经验不限,本科,天津·和平·南市,沈阳菲特沃克人力资源服务有限公司,"民营
         
          100-299人
         
          人力资源服务"
武清 五险一金 双休 客户资源下发,1-2万,"销售
综合金融",1-3年,大专,天津·武清·徐官屯,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
客户经理（一大区）,8000-15000元,,1-3年,大专,天津·和平·小白楼,泰康养老保险股份有限公司天津分公司,"民营
         
          100-299人
         
          保险"
保险理财顾问,1.4-1.8万,"KA大客户
企业客户
个人客户
电话销售
网络销售
渠道销售",经验不限,大专,天津·武清·徐官屯,中国平安人寿保险股份有限公司天津分公司(争霸团队),"股份制企业
         
          500-999人
         
          保险"
双休社区维护+朝九晚六+月均1w 梦中情岗，就是你想要的好工作,9000-16000元,"企业客户
KA大客户
个人客户
面销/陌拜
网络销售
电话销售",经验不限,大专,天津·西青·中北,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
五险一金/双休 高净值客户资源下发，收入保障,面议,,1-3年,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
客户经理,8000-16000元,全职,1-3年,本科,天津·河东·上杭路,镇江西门子母线有限公司,"合资
         
          1000-9999人
         
          电力/水利/热力/燃气"
大港-15k-20k 五险一金 双休,1.5-2万,,1-3年,大专,天津·滨海新区·大港,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
中国人寿综合金融专员,8000-12000元,"企业客户
个人客户
善于与人打交道",经验不限,学历不限,天津·和平·小白楼,中国人寿保险股份有限公司天津市和平区支公司(同心合力团队),"1000-9999人
         
          保险"
金融销售,1.1-1.5万,,3-5年,大专,天津·宝坻·宝平,中国平安人寿保险股份有限公司,"其它
         
          500-999人
         
          互联网"
客户经理（天津）,5000-9000元,"KA大客户
企业客户
机构客户",5-10年,大专,天津·和平·小白楼,汇源果汁,"民营
         
          1000-9999人
         
          快速消费品"
客户经理,3000-6000元,"电话销售
面销/陌拜",经验不限,大专,天津·武清·运河西,中国人寿保险股份有限公司天津市武清区支公司(铭轩团队),"上市公司
         
          1000-9999人
         
          保险"
金融销售顾问,7000-14000元,"KA大客户
企业客户
政府客户
电话销售
网络销售
面销/陌拜
银行从业资格证
证券从业资格证
基金从业资格证",经验不限,学历不限,天津·南开·学府,天津市星火同光助业咨询服务有限公司,"民营
         
          20-99人
         
          互联网金融/小额贷款"
社区客户经理＋早九晚六＋周末双休＋法定假期带薪休假＋团队工作氛围nice,6000-12000元,"KA大客户
个人客户
门店销售
渠道销售
电话销售",经验不限,大专,天津·滨海新区·大港,上海金麦穗信息技术集团有限公司,"上市公司
         
          10000人以上
         
          银行"
平安综合金融,6000-12000元,"个人客户
企业客户",经验不限,大专,天津·河西·下瓦房,中国平安人寿保险股份有限公司天津分公司,"股份制企业
         
          500-999人
         
          保险"
