职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
长春·南关·明珠,运维工程师,4000-6000元,运维,经验不限,大专,吉林省信启工程技术服务有限公司,"其它
         
          20-99人
         
          建筑设计"
张掖·甘州区·东街街道,新岗位 新模式 早九晚六 周末双休 社区金融 大平台有发展,6000-12000元,,经验不限,大专,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
中山·石岐街道,包赚12万一年~天虹超市采购送货配送+可兼职日结可全职,8000-10000元·13薪,,经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
上海·杨浦·五角场,董事长助理,1-1.5万,"行政管理
文秘
茶艺
集团公司
英语",3-5年,本科,上海禹桐科技有限公司,"民营
         
          20人以下
         
          企业服务"
苏州·吴中·木渎,控制硬件工程师,1.5-2万·13薪,"外围电路
主控板
多层板",3-5年,本科,中科纳微真空科技(合肥)有限公司,"民营
         
          100-299人
         
          通用设备制造"
绍兴·越城区·斗门街道,3d打印售后工程师,4000-8000元,,经验不限,学历不限,宁波星旭增材制造有限公司,"其它
         
          20-99人
         
          新材料"
大连·沙河口·西安路,销售实习生及办事员出差底薪8000元/月+提成,8000-13000元,大客户销售,1年以下,中专/中技,大连双龙泵业集团有限公司,"民营
         
          500-999人
         
          通用设备制造"
郑州·金水·祭城路,电话邀约专员,1-2万,"电话邀约
电话销售
客服",经验不限,学历不限,河南酒投酒业发展集团有限公司,"股份制企业
         
          100-299人
         
          烟草/酒业"
佛山·禅城·张槎,奶茶商超日结300/80单完成/包吃住车,8000-10000元·13薪,,经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
济南·章丘·双山,【日结】章丘和谐广场必胜客招募兼职服务员(过年供班)/J16521,1500-3000元,"中餐厅
西餐厅
连锁品牌
全勤奖金
免费工装
节日福利
节假日三薪
免费培训",经验不限,学历不限,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
苏州·常熟·古里,安全性设计师,1.4-2.8万,"航空器
AutoCAD
CAXA
飞机性能设计
机身设计
机翼设计
螺旋桨设计
飞机系统安全",经验不限,本科,苏州随飞科技有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
青岛·市南·湛山,餐饮主管/领班（小倩倩馄饨）,4000-6000元,"中餐厅
快餐",1-3年,高中,青岛市小倩倩快餐食品有限公司,"民营
         
          100-299人
         
          餐饮服务"
郑州·中原·石佛,招聘经理,1-1.5万,"社会招聘
职能岗位招聘",5-10年,大专,贵州有盼头科技有限公司,"民营
         
          100-299人
         
          互联网"
湛江·赤坎区·南桥街道,送餐送菜日结，提供车住，无门槛，当天上岗+可兼职日结可全职/+骑手/超市驻店/配送员/送餐员。,7000-8000元·13薪,"家附近3公里配送
提供车住
全职兼职均可
日入500
时间自由
人走账清
保底8000
日结工资
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
青岛·城阳·城阳街道,食品厂维修电工（城阳区）,4000-8000元,"电子维修
电路维修
电器维修
电子仪器维修
特种作业操作证 （电工）
低压电工证",1-3年,大专,青岛市小倩倩快餐食品有限公司,"民营
         
          100-299人
         
          餐饮服务"
杭州·拱墅·祥符,追觅科技 | 智能家电门店导购8K起五险一金,8000-12000元,"数码店
3C数码导购
智能家电导购
五险一金",1年以下,学历不限,江西辰鸿人力资源有限公司,"500-999人
         
          人力资源服务"
苏州·相城·元和,机械销售,1-2万,"企业客户
面销/陌拜
区域销售",1-3年,大专,苏州市海得勒数控机床有限公司,"民营
         
          20-99人
         
          金属制品业"
徐州·泉山区·永安街道,小学英语教师,5000-8000元,"小学教育
线下授课",1-3年,本科,徐州市泉山区昂文教育培训中心有限公司,"民营
         
          20-99人
         
          培训/辅导服务"
无锡·锡山·锡北,设备维修员,6000-8000元,生产设备,1-3年,本科,江苏知原药业股份有限公司,"股份制企业
         
          500-999人
         
          医药制造"
北京·怀柔·杨宋,车间硫化工,8000-11000元,,经验不限,学历不限,中辉智造(天津)企业管理咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
天津·滨海新区·杭州道,一汽丰田8000+五险一金包食宿班车普工/操作工,7000-8000元,"普工
操作工",经验不限,学历不限,天津伯众之家企业管理有限公司,"股份制企业
         
          1000-9999人
         
          人力资源服务"
郑州·金水·祭城路,央企招聘文员+五险一金+双休,8000-10000元·13薪,"资料管理
后勤管理
考勤管理",经验不限,大专,几何(郑州)服务外包有限公司,"股份制企业
         
          500-999人
         
          社团/组织/社会保障"
成都·武侯·桂溪,SN1 电话销售 月入2万 周休2天 入职五险一金,8000-12000元,"企业客户
个人客户
电话销售",经验不限,高中,北京互联众信网络技术有限公司,"民营
         
          500-999人
         
          电子商务"
郑州·二七区·淮河路,产品直播主播,4000-6000元,"露脸
酒店洗浴耗材用品
抖音
快手
小红书",1-3年,大专,河南麒元日用品有限公司,"民营
         
          100-299人
         
          日化产品制造"
西安·长安·郭杜,全职骑手,1-1.1万,外卖站,经验不限,学历不限,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
聊城·东昌府区·湖西街道,聊城民生壹号广场必胜客新店服务员-J16385,2000-2500元,"西餐厅
奶茶店
咖啡店
免费工装
节日福利",经验不限,学历不限,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
武汉·江汉·经开区,工作不好找/送餐很容易300/天,1-1.2万,送餐员,经验不限,学历不限,武汉立速直达物流配送有限公司,"其它
         
          100-299人
         
          零售/批发"
西安·灞桥·十里铺,赵一鸣零食配送,9000-10000元,外卖站,经验不限,学历不限,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
阜阳·颍州区·王店镇,急招网格员 早九晚六 周末双休 不陌拜 客户就在家门口,6000-12000元,,经验不限,大专,中国平安人寿保险股份有限公司2,"上市公司
         
          10000人以上
         
          银行"
郑州·金水·未来路,设计营销,4000-5000元,"PS
印刷广告
新媒体广告
媒体广告",经验不限,大专,郑州百帮文化产业有限公司,"股份制企业
         
          20-99人
         
          培训/辅导服务"
西安·未央·三桥,工资秒到账,1-1.1万,外卖站,经验不限,学历不限,西安华骑科技有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
临沂·兰山·兰山街道,临沂市兰山区急招骑手待遇超好,7000-8000元,"公司提供电动车/摩托车
餐饮外卖
酒水饮料
短距配送
派单
0元入职",无经验,学历不限,日照大迈餐饮配送有限公司,"民营
         
          100-299人
         
          餐饮服务"
泰州·高港区·口岸街道,招聘普工/操作工 月入7000（包吃住 日结）,6000-7000元,做六休一,经验不限,学历不限,泰州市惠正人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
深圳·罗湖·东湖,小象超市免车电,9000-13000元,"电动车
食品健康证
生鲜
生活日用
按区域配送
无犯罪记录",经验不限,学历不限,团配供应链管理,"股份制企业
         
          10000人以上
         
          货运/物流/仓储"
滨州·博兴县·锦秋街道,滨州必胜客餐厅服务员-J15674,2000-2500元,"西餐厅
奶茶店
咖啡店
免费工装
节日福利",经验不限,学历不限,北京必胜客比萨饼有限公司青岛分公司,"外商独资
         
          1000-9999人
         
          餐饮服务"
天津·南开·嘉陵道,消防工程项目经理,8000-9000元,消防施工,1年以下,大专,天津市兴润消防工程有限公司,"民营
         
          20-99人
         
          工程施工"
