职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
白酒销售经理,1.2-1.6万,"渠道销售
代理商销售
年终奖金
五险
周末双休
节日福利
高提成",5-10年,大专,天津·河西·友谊路,北京市怡亚通供应链管理有限公司,"上市公司
         
          10000人以上
         
          快速消费品"
【东丽区】科林净水招聘销售员,4000-6000元,"个人客户
面销/陌拜
电话销售
地推销售
高提成
节日福利",经验不限,学历不限,天津·东丽·万新,天津科林乐享智能科技有限公司,"民营
         
          100-299人
         
          专业技术服务"
瓷砖销售,4000-6000元,,1-3年,学历不限,天津·武清·下朱庄,天津市鲁静商贸有限公司,"民营
         
          20-99人
         
          装饰装修"
暖通销售顾问,5000-10000元,"KA大客户
个人客户
渠道销售
地推销售
门店销售
五险
节日福利
高提成
外出旅游
弹性工作",经验不限,学历不限,天津·河西·尖山,天津市多维信达科技发展有限公司,"民营
         
          20-99人
         
          建材"
【河北区】科林净水招聘销售员,4000-6000元,"面销/陌拜
电话销售
地推销售
个人客户",经验不限,学历不限,天津·河东·上杭路,天津科林乐享智能科技有限公司,"民营
         
          100-299人
         
          专业技术服务"
销售专员,4000-8000元,"新零售
电销
渠道销售
店面销售
大客户（KA）
企业客户
个人客户
华北",1-3年,学历不限,天津·南开·向阳路,天津市三菱文体用品有限公司,"民营
         
          20-99人
         
          零售/批发"
天津塘沽区业务代表,6000-8000元,,1-3年,大专,天津·滨海新区·新村,山西于成龙酒业有限公司,"股份制企业
         
          500-999人
         
          快速消费品"
【河东】招聘水卡销售员,4000-6000元,"面销/陌拜
地推销售
个人客户
高提成",经验不限,学历不限,天津·河东·上杭路,天津科林乐享智能科技有限公司,"民营
         
          100-299人
         
          专业技术服务"
销售员,6000-10000元,"代理商销售
门店销售",1-3年,中专/中技,天津·河北·建昌道,天津市意鼎胜食品贸易有限公司,"民营
         
          20-99人
         
          快速消费品"
奢侈品销售导购,4000-8000元,门店销售,经验不限,学历不限,天津·河西·尖山,弘轩(天津)科技有限公司,"民营
         
          20-99人
         
          建材"
销售,3000-5000元,"客户资源
年终奖金
五险",1-3年,大专,天津·东丽·华明,金塬医疗器械(天津)有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
国内贸易岗（派驻天津）,6000-10000元,行业经验,1-3年,大专,天津·河西·友谊路,广西恩迪矿业有限公司,"股份制企业
         
          20-99人
         
          贸易/进出口"
茅台销售专员,6000-12000元,,1-3年,高中,天津·滨海新区·寨上,天津顶立集团有限公司,"100-299人
         
          快速消费品"
钢铁供应链业务经理/业务员,1.6-3万,行业经验,3-5年,大专,天津·河西·友谊路,厦门建发物资有限公司,"国企
         
          100-299人
         
          零售/批发"
销售,4000-8000元,,经验不限,学历不限,天津·和平·劝业场,德美视科技集团有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
水井坊专职（河东区、红桥区）,6000-12000元,,1-3年,中专/中技,天津·滨海新区·新北,天津顶立集团有限公司,"100-299人
         
          快速消费品"
商品销售,6000-12000元,渠道销售,经验不限,学历不限,天津·北辰·宜兴埠,天津市谷丰商贸有限公司,"民营
         
          20-99人
         
          快速消费品"
