职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
（居家办公）+五险一金+国企续保专员,4000-8000元,,经验不限,学历不限,上饶·广信区·旭日街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
整体厨房设计师（北京）,1.2-1.8万·13薪,"主案设计师
厨房设计
地产精装设计
室内设计",3-5年,本科,北京·大兴·高米店,宁波方太厨具有限公司,"民营
         
          10000人以上
         
          耐用消费品"
医美咨询师,1.5-3万,"面部医美
眼部医美
塑形医美
现场咨询",3-5年,学历不限,武汉·汉阳·龙阳,武汉市素藤医疗健康咨询有限公司,"股份制企业
         
          100-299人
         
          卫生服务"
新媒体运营经理,1-2万,品牌运营,3-5年,本科,青岛·崂山·中韩,青岛君一控股集团有限公司,"其它
         
          1000-9999人
         
          房地产开发"
城市经理,1.2-1.8万,"西南大区
渠道销售",5-10年,大专,大理·大理市·满江街道,思念食品有限公司,"民营
         
          10000人以上
         
          快速消费品"
保底8000招募C牌司机,9000-12000元,三年驾龄,3-5年,学历不限,佛山·禅城·祖庙,佛山市晨飞汽车租赁有限公司,"100-299人
         
          汽车智能互联"
销售代表,7000-14000元,"渠道销售
地推
面销
会销
店面销售
华中
较多出差
较多外勤",经验不限,学历不限,武汉·汉阳·龙阳,武汉市素藤医疗健康咨询有限公司,"股份制企业
         
          100-299人
         
          卫生服务"
急聘保姆，照顾老人，无经验可带，6000起,6000-11000元,"保姆
包吃包住
就近分配
五险一金
带薪培训",经验不限,学历不限,东莞·莞城街道,东莞市家好到家生活服务有限公司,"100-299人
         
          家政服务"
修图师,5000-6000元,"平面设计
人像修图
美工
图片精修",1-3年,大专,西安·雁塔·丈八沟,陕西寰宇思创科技有限公司,"20人以下
         
          新媒体"
银行装修贷款业务经理（成都）,6000-10000元,"面销/陌拜
渠道销售
信用卡
银行贷款",经验不限,学历不限,成都·武侯·浆洗街,河北睿银金融服务外包有限公司,"民营
         
          500-999人
         
          专业技术服务"
超市专送-0元车电-就近分配-超时永久免罚-可下班兼职-时间任选,7500-11000元,"按区域配送
食品饮料
生鲜
会骑电动车
公司免费提供车电池
无需健康证",经验不限,学历不限,深圳·宝安·航城,福州朴朴电子商务有限公司,"民营
         
          10000人以上
         
          互联网"
