职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
业务代表/销售业务代表,3000-5000元,"企业客户
个人客户
面销/陌拜
电话销售
网络销售",1-3年,本科,天津·南开·学府,威实（天津）食品开发有限公司,"外商独资
         
          20-99人
         
          快速消费品"
软件销售（过年休17天）(MJ023968),1-1.5万,"企业客户
个人客户
电话销售
面销/陌拜
渠道销售",经验不限,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
销售专员,6000-7000元,"KA大客户
个人客户",1-3年,大专,天津·静海·良王庄,天津朗诺宠物食品股份有限公司,"民营
         
          100-299人
         
          快速消费品"
业务员入职即上保险双休,6000-10000元,"企业客户
面销/陌拜
电话销售
网络销售",经验不限,学历不限,天津·西青·西营门,滨津(天津)新材料有限公司,"民营
         
          20-99人
         
          化学纤维制造业"
天津-B端销售/五险一金/双晋升通道/1v1带教(J30356),8000-14000元,"企业客户
面销/陌拜
电话销售
KA大客户
网络销售",经验不限,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
销售代表,8000-12000元,"企业客户
酒店
物业
面销/陌拜
渠道销售
地推销售",经验不限,学历不限,天津·西青·精武镇,天津市瀚洋纸业有限公司,"民营
         
          20人以下
         
          日化产品制造"
直营10k-20k接受小白、门店和岗位可选,1-2万,,经验不限,大专,天津·武清·东蒲洼,深圳南区人瑞人力资源服务有限公司,"上市公司
         
          10000人以上
         
          企业服务"
Tob销售（58同城直招+六险一金+无责底薪+接受无经验+有班车宿舍）(J31488),8000-12000元,"企业客户
个人客户
网络销售
电话销售",无经验,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
天津--美孚机油销售,7000-14000元,"KA大客户
个人客户
汽修店客户
面销/陌拜
地推销售
门店销售
吃苦耐劳
勤奋踏实",1-3年,大专,天津·津南·双桥河,天津市汇高世纪商贸有限公司,"民营
         
          20-99人
         
          石油/石化"
城市经理,8000-10000元,"食品
快消品
﻿销售
客户代表
区域销售",1-3年,大专,天津,全乐食品有限公司,"民营
         
          100-299人
         
          快速消费品"
商务顾问-天津分公司（HRG）(J13192),1-1.5万,"企业客户
电话销售
面销/陌拜
地推销售
KA大客户
个人客户",经验不限,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
红牛公司 业务司机（滨海新区）,4000-8000元,,1-3年,高中,天津·滨海新区·新河,华彬快速消费品投资管理有限公司,"外商独资
         
          1000-9999人
         
          快速消费品"
销售经理（机械行业双休吃住）,7000-12000元,机械/重工,经验不限,本科,天津·西青·大寺,天津一新管道设备有限公司,"民营
         
          20-99人
         
          船舶/航空/航天/火车制造"
区域BD销售入职买六险一金有双休(J31265),8000-13000元,,无经验,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
销售业务员,5000-10000元,,3-5年,本科,天津·武清·梅厂,深圳华特容器股份有限公司天津分公司,"股份制企业
         
          100-299人
         
          金属制品业"
饮料销售业务员-静海-【六险一金】,7000-9000元,"面销/陌拜
陈列
网点开发
终端销售",1-3年,大专,天津·静海·静海镇,元气森林(北京)食品科技集团有限公司,"民营
         
          1000-9999人
         
          快速消费品"
高薪销售顾问（LBG）-YL(J19530),7000-14000元,,无经验,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
国内业务员,5000-10000元,"渠道销售
企业客户",经验不限,大专,天津·东丽·华明,唐山金湾特碳石墨有限公司,"民营
         
          100-299人
         
          钢铁/有色金属冶炼及加工"
销售会籍顾问,5000-10000元,"电话销售
网络销售
渠道销售",1-3年,学历不限,天津·北辰·佳荣里,天津佬虎搏击俱乐部有限公司,"20-99人
         
          培训/辅导服务"
tob销售（客源公司提供+高温取暖补贴等）(J34214),8000-12000元,"KA大客户
企业客户
政府客户
电话销售
面销/陌拜
网络销售
B端客户
TOB
广告销售",无经验,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
化工产品销售,8000-10000元,行业经验,1-3年,大专,天津·和平·南市,天津黎阳新材料科技有限公司,"民营
         
          20人以下
         
          贸易/进出口"
红酒销售代表（全职/兼职）,4000-6000元,"面销/陌拜
渠道销售
代理商销售",经验不限,大专,天津·河西,天津辛德玛集团有限公司,"合资
         
          20-99人
         
          化学原料/化学制品"
