职位,薪水,关键词,工作经验,学历,公司,工作地址,公司情况
法务专员-应届,5000-9000元,国营企业,经验不限,硕士,天津华惠安信建设工程有限公司,天津·河西·越秀路,"国企
         
          100-299人
         
          房地产开发"
公司法务,6000-7000元,"律师事务所
上市企业
集团公司
A类法律职业资格证
B类法律职业资格证
律师执业证",5-10年,学历不限,天津滨唐建筑集团有限公司,天津·滨海新区·汉沽,"民营
         
          20-99人
         
          房地产开发"
企业法务顾问,6000-8000元,"合同事务
股权业务",3-5年,本科,盛世创科(天津)智能科技有限公司,天津·滨海新区·塘沽,"民营
         
          20-99人
         
          汽车金融"
法务专员,5000-8000元,,经验不限,本科,天津住宅集团建设工程总承包有限公司,天津·西青·张家窝,"国企
         
          1000-9999人
         
          工程施工"
法务律师,8000-12000元,"劳动纠纷
司法仲裁
合同事务
律师事务所
律师执业证",3-5年,本科,天津双隆盛建筑工程有限公司,天津·津南·八里台,"民营
         
          20-99人
         
          建筑设备安装"
法务专员,6000-8000元,,经验不限,本科,盛世创科(天津)智能科技有限公司,天津·滨海新区·寨上,"民营
         
          20-99人
         
          汽车金融"
法务,8000-12000元,"合同事务
债权债务
律师事务所",1-3年,本科,天津昌宜,天津·河东·大王庄,"民营
         
          1000-9999人
         
          房地产开发"
法务人员,8000-11000元,"劳动纠纷
司法仲裁
合同事务",1-3年,本科,湖北省工业建筑集团有限公司,天津·河东·向阳楼,"国企
         
          1000-9999人
         
          工程施工"
法务专员,6000-7000元,"劳动纠纷
司法仲裁
合同事务
律师执业证",1-3年,本科,盛世创科(天津)智能科技有限公司,天津·滨海新区·塘沽,"民营
         
          20-99人
         
          汽车金融"
法务,1-2万·24薪,,5-10年,本科,天津市津热供热集团有限公司,天津·河西·尖山,"股份制企业
         
          500-999人
         
          社团/组织/社会保障"
