职位,薪水,经验,学历,关键词,工作地址
肯德基服务员兼职-就近安排,3000-5000元,经验不限,高中,"职位描述
西式快餐
全勤奖金
免费工装
带薪培训
主要工作职责
你将从事:
-对客服务类工作:满足顾客需要，给顾客带来完美用餐体验
-产品制作类工作:直接参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺
你将得到:
系统正规的培训，广阔的发展空间:
“关爱成员的大家庭”企业文化
与年轻的伙伴快乐共事，感受充满激情的团队氛围
弹性安排工作时间
丰富多彩的团队活动
完善的薪资福利
你的发展空间:
系统正规的培训，由你自己主导自我发展
服务员→楼面经理一更高管理职位。
职位任职资格
1、年龄满18周岁以上，高中或同等以上学历
2、热情开朗，正直诚信，善于与人沟通，有团队精神
3、适应快节奏、高效的工作环境
4、乐于从事连锁餐饮零售业","工作地点
拱墅区肯德基(杭州经贸店)
查看地图"
盘锦兴隆台 海底捞急招长期兼职19/h+包吃,19元/时,1年以下,学历不限,"职位描述
火锅店
一、【招聘岗位】
盘锦（城市）招聘岗位：服务员、后厨等，报酬：19元/时，工作时间：前堂钟点工5-9。夜班钟点工10-2要2人。后堂钟点工5-9。
二、【职位要求】
1.学历不限；
2.身体状况符合国家餐饮行业要求；
3.无不良记录和嗜好。
三、【福利标准】
1.免费提供员工餐；
2.员工本人和直系亲属在门店用餐享受5-8折优惠（高峰期、法定节假日等除外）；
3.上述福利待遇的享受条件和适用范围以公司福利制度为准。
四、【注意事项】
面试需提供个人身份证原件或身份证明材料。","工作地点
盘锦兴隆台区海底捞火锅(双兴南路万达广场店)
查看地图"
肯德基服务员兼职-就近安排,3000-5000元,经验不限,高中,"职位描述
全勤奖金
带薪培训
快餐店
主要工作职责
你将从事：
-对客服务类工作：满足顾客需要，给顾客带来完美用餐体验；
-产品制作类工作：参与食品、饮料等多种产品的制作工作，学习国际连锁西餐厅的高标准制作工艺。
你将得到：
-系统正规的培训，广阔的发展空间；
-“关爱成员的大家庭”企业文化
-与年轻的伙伴快乐共事，感受充满激情的团队氛围
-弹性安排工作时间
-丰富多彩的团队活动
你的发展空间
服务员→楼面经理→餐厅副经理→餐厅资深副经理→餐厅经理→更高管理职位……
职位任职资格
1.年龄满18周岁以上，高中或同等以上学历
2.热情开朗，正直诚信，善于与人沟通，有团队精神
3.适应快节奏、高效的工作环境
4.不限经验，乐于从事连锁餐饮零售业","工作地点
上城区肯德基(杭州东站东广场餐厅)
查看地图"
深圳室内站点服务员包吃住6500+,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
五险一金
全勤奖金
免费工装
节日福利
放心咨询，不收任何费用！！
工作岗位：本市线路的各站点就近安排！！
[福利待遇]
1、薪酬范围：月收入4000~7000元（包吃住）+工作服+空调+WiFi
2、每两个月提供一次晋升机会，每个人都有机会成为班长-队长-经理。
3、我们有免费的带薪培训，有老员工一对一指导工作
[工作内容]
1.负责宣传引导人群进入区域。
2.对物品进行针对性探测、检查、确定物品性质，及时移交现场处理并做好记录。
[任职要求]
1、年龄18—35周岁
2，身体健康、责任心强、服从管理、无学历限制，学历不限。
[工作时间]
1、上班时间：8小时制（包含休息和吃饭时间）
2、休息时间自由安排，可连休
工作能力与工作态度决定你的薪资与职位~
公司氛围轻松，同事友好相处，共同进步。欢迎你的加入!","工作地点
深圳福田区华强路C口
查看地图"
兼职＋24/小时＋夜班补贴＋可选门店,4000-6000元,经验不限,学历不限,"职位描述
西餐厅
加班补贴
节日福利
免费工装
必胜客招聘兼职
高薪资 17-24/小时 看商圈多劳多得
法定假日57一小时 晚班补助
18＋ 时间灵活","工作地点
北京东城区必胜客(南锣鼓巷店)1
查看地图"
昆明上一休一站点服务员包吃住6000+,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
就近分配
免费工装
加班补贴
放心咨询，不收任何费用！！
工作岗位：本市线路的各站点就近安排！！
[福利待遇]
1、薪酬范围：月收入4000~7000元（包吃住）+工作服+空调+WiFi
2、每两个月提供一次晋升机会，每个人都有机会成为班长-队长-经理。
3、我们有免费的带薪培训，有老员工一对一指导工作
[工作内容]
1.负责宣传引导人群进入区域。
2.对物品进行针对性探测、检查、确定物品性质，及时移交现场处理并做好记录。
[任职要求]
1、年龄18—45周岁
2，身体健康、责任心强、服从管理、无学历限制，学历不限。
[工作时间]
1、上班时间：8小时制（包含休息和吃饭时间）
2、休息时间自由安排，可连休
工作能力与工作态度决定你的薪资与职位~
公司氛围轻松，同事友好相处，共同进步。欢迎你的加入!","工作地点
官渡区昆明火车站B口
查看地图"
急急急自贡爱琴海-肯德基长期晚班兼职服务员,80-100元/天,经验不限,学历不限,职位描述西餐厅免费工装节日福利免费培训就近分配 无押金！免费培训！    社会兼职（有企业在缴社保）&学生兼职（最少三个月）  【工作要求】：学生兼职（年满18岁在校学生）和社会兼职（接受晚班）  【工作内容】：前台点餐配餐、大厅服务、总配制作、厨房炸烤以及清洗。前期会有免费带训，不用担心。  【工作时间】：弹性工作时间，不影响您的学习或正常工作（每周可规划20小时以上供班，每次5-8小时，可持续3个月以上）  【薪资待遇】：时薪制（综合基本时薪14-18元/小时），多劳多得，享受法定节假日加班工资，还有丰富的员工活动和奖励机制晋升的机会，工作环境舒适（中央空调、专用员工休息室、微波炉、冰箱等），欢乐的工作氛围。,"工作地点
自流井区肯德基(自贡爱琴海店)
查看地图"
快餐厅服务员周结-宝安8店（冰雪世界店）,3000-6000元,经验不限,中专/中技,职位描述西餐厅免费工装就近门店上班     以下门店就近选择：   宝利豪庭店；智驾公园店；桥和路店；宝安机场店；燕罗店；石岩奋达店；华发冰雪世界店；欢乐港湾店；泰逸大厦店   工作内容    1、布置餐厅和餐桌；  2、引领客人入座就席，协助客人点菜，向客人介绍特色或时令菜点；  3、整理餐厅的清洁卫生。  4、烤制产品，产品组装，配发餐。  5、招聘年龄：18-50岁,"工作地点
宝安区深圳前海·华发冰雪世界
查看地图"
5000+包吃服务员带薪年假,5000-6000元,科技园,经验不限,"职位描述
中餐厅
加班补贴
全勤奖金
工龄奖金
免费工装
节日福利
服务员
薪资待遇：5000+
要求：50岁以内、男女不限；
通岗工作：备餐、出餐、打包及前堂服务工作，轮岗制通岗，后厨涉及炸和煮
工作时间：9:00-21:00(8小时排班+吃饭休息时间）
薪资待遇：综合到手薪资5000一月，包吃
福利：法定节假日调休，满一年有五天带薪年假","工作地点
深圳南山区星岛科技(科兴科学园店)-科兴科学园店
查看地图"
服务员,4000-5000元,经验不限,学历不限,"职位描述
景区
包吃
岗位职责：
协助店长进行项目现场的安全整体运营工作，主要职责包括：
１、负责现场物资管理工作，包括现场物品的协调、管理，避免出现浪费和等情况；
２、负责提前查看各平台核销订单情况及电话接听，协调安全员和游船工作时间，避免出现游客长时间等待现象；
3、负责整体卫生情况，每日码头、游船卫生安排打扫及游船安全检查；
4、负责每日财务数据的统计并报告店长，包括销售数据、营收数据、游客接待量等；
5、负责接待游客、提供咨询服务、解答游客疑问、引导游客参观、现场售票等。
岗位要求：
1、大专及以上学历，专业不限，旅游管理类专业者优先；
2、工作经验不限，具备景区、旅行社工作经验、会游泳者优先；
3、熟悉景区运营管理流程，能参与整体的运营管理工作；
4、熟练掌握常用办公软件工具；
5、诚实守信，具有客户服务意识和团队合作精神，善于学习。","工作地点
吴兴区湖州太湖喜来登温泉度假酒店(月亮酒店)
查看地图"
5500服务员包吃住闵行区,5000-6000元,经验不限,学历不限,"职位描述
中餐厅
免费工装
节日福利
包吃
【薪资待遇】
1、综合薪资：5000-5500
2、包吃住+可预支+节日福利+培训上岗+免费工衣。
【岗位职责】
1、负责用餐前的准备及餐后桌面卫生收拾，确保干净整洁；
2、完成上级安排的其他任务。
【任职条件】
1、年龄18~38岁，礼貌待人；
2、有良好的服务意识。
地址：上海市闵行区","工作地点
上海闵行区海梦一方
查看地图"
深圳室内站点服务员包吃住6500+,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
五险一金
全勤奖金
免费工装
节日福利
放心咨询，不收任何费用！！
工作岗位：本市线路的各站点就近安排！！
[福利待遇]
1、薪酬范围：月收入4000~7000元（包吃住）+工作服+空调+WiFi
2、每两个月提供一次晋升机会，每个人都有机会成为班长-队长-经理。
3、我们有免费的带薪培训，有老员工一对一指导工作
[工作内容]
1.负责宣传引导人群进入区域。
2.对物品进行针对性探测、检查、确定物品性质，及时移交现场处理并做好记录。
[任职要求]
1、年龄18—35周岁
2，身体健康、责任心强、服从管理、无学历限制，学历不限。
[工作时间]
1、上班时间：8小时制（包含休息和吃饭时间）
2、休息时间自由安排，可连休
工作能力与工作态度决定你的薪资与职位~
公司氛围轻松，同事友好相处，共同进步。欢迎你的加入!","工作地点
深圳宝安区西乡B口
查看地图"
闵行区5500餐饮服务员包吃住,5000-6000元,1年以下,学历不限,"职位描述
中餐厅
包吃包住
节日福利
免费工装
岗位要求：
1、年龄18-35岁，无纹身，需要有餐饮工作经验
工作内容
主要招呼客人点菜上菜等。
薪资待遇: 综合5000-5500
福利待遇: 包吃住
工作地址：：闵行区海梦一方商场 景西路地铁站","工作地点
上海闵行区海梦一方
查看地图"
火锅店服务员+5000元/月,4000-6000元,经验不限,学历不限,"职位描述
火锅店
包吃包住
加班补贴
全勤奖金
工龄奖金
免费工装
岗位职责：撤台、点单、台面整理，顾客指引。
薪资福利: 综合薪资4000-5000
包吃住 转正买社保 法定节假日3倍工资
任职要求:
只要长期工，形象气质好，服务态度好
1.年龄:20-35岁；
形象好态度好.
2.不要学生工
3.形象好，服务态度好，踏实认真，身体健康，服从管理
上班时间:10：00-22:00排班，休息3小时
福利:包吃包住三餐 月休4天，环境好
工作地址：华商金融中心和青羊宫
面试时间：09-16","工作地点
成都青羊区琴台路
查看地图"
自助餐厅服务员,3000-4000元,1-3年,学历不限,"职位描述
全勤奖金
工龄奖金
免费工装
节日福利
包吃包住
自助餐
岗位职责：
1.积极配合领班工作，服从领班或领班以上领导的指挥，团结及善于帮助同事工作。
2.懂得和熟悉本餐厅的业务工作。
3.具有良好的会话能力，善于运用语言技巧，为客人提供最佳服务。做到文明礼貌、掌握原则、有问必答、言简意明。
4.迎宾带客到位，服务员应动上前替客人拉椅子，做好接待工作。
5.接待顾客应主动、热情、礼貌、耐心、周到，使客人有宾至如归之感。
6.工作时要做到四勤：手勤、脚勤、眼勤、口勤。及时了解客人的心态需求，为顾客提供良好物服务。
7.善于向顾客介绍和推销本餐厅的饮品及菜肴。
8.要有纯熟的业务操作知识， 掌握及懂得客人需要的每份饮料及食物的用餐规律。
9.工作责任心要强，有独立处理事物的能力，发现问题及时报，善于班前或班后提出问题，及时转告客人提出的意见。
10.做好上班前后的楼面卫生荼，积极检查备用餐具是否齐全，餐台上器皿及需用品是否整洁和齐全。","工作地点
环翠区威海九紫黄龙璀丽酒店(威海高铁站韩乐坊店)
查看地图"
6000上海餐厅服务员包吃住,6000-7000元,1-3年,学历不限,"职位描述
餐厅服务员
楼面服务员
中餐厅
包吃包住
岗位职责：
1. 负责餐厅顾客的服务工作，包括点餐、送餐、收餐等。
2. 维护餐厅的卫生与秩序。
3. 参与餐厅的日常运营，确保顾客满意度。
岗位要求：
1. 年龄18-35岁，男女不限。
2. 有相关工作经验者优先。
3. 具备良好的服务意识和团队协作精神。
薪资5000-6000，包吃住","工作地点
上海闵行区海梦一方
查看地图"
酒店服务员,4000-5000元,经验不限,学历不限,"职位描述
中餐厅
酒店服务员包吃住8小时
1. 薪酬待遇：税前月工资4300-4500；
2. 工作时间：8小时工作制；
3. 福利保障：包吃包住；每周上六休一，节假日三倍工资，15号发薪
任职要求：
1. 男女不限，有经验优先，35内。
2. 五官端正、体形匀称、身体健康。
3. 会说普通话，口齿清楚，沟通能力强，有责任心，能吃苦耐劳。
4. 有餐厅服务经验者优先。","工作地点
丰台区北京河南商务酒店
查看地图"
日料店招聘兼职服务员+26元/小时+法定三薪+时间自由,5000-7000元,经验不限,学历不限,"职位描述
西餐厅
免费工装
兼职的形式，时间自由，不包吃住，一周至少出勤3天，其中一天是周末，介意勿扰！！！
招聘岗位：
前厅：服务员，点单，收银，迎宾，后厨：寿司制作，备料，洗净（面试定岗）
薪资待遇：
早班: 8：30-2:00
晚班: 18:00-24:00
一周至少出勤3天
周六日至少出勤1天
时薪26元/小时，月度超出167个小时1.5倍工资，法定三薪
应聘要求：
性别学历不限，能接受服务岗位，有餐饮行业经验优先。
兼职的形式，时间自由，不包吃住，一周至少出勤3天，介意勿扰！！！","工作地点
上海长宁区龙之梦城市生活中心(长宁路店)7层7211A
查看地图"
服务员可兼职寒假工,6000-7000元,经验不限,学历不限,"职位描述
兼职
工作职责：
1.负责店内卫生的清理，负责接待、下单
2.接待顾客主动、热情、耐心、周到
3.做好餐厅的卫生清洁，供餐完毕后对餐厅地面、桌面进行卫生清理
职位要求：
能吃苦耐劳，踏实肯干","工作地点
江西省九江市濂溪区德化路558号3楼
查看地图"
5~7k/包吃/轻食店服务员/法定三薪,5000-7000元,经验不限,学历不限,"职位描述
节日福利
法定三薪
免费奶茶
深圳轻食店招募新伙伴啦✨
工作内容:
厨师：厨师主要负责意粉，沙拉，汉堡，小吃和西式饭类制作
水吧：调制咖啡、奶茶、果饮，保持吧台整洁
服务员：协助客人点餐，上菜，摆台，擦桌子，收拾餐具等
岗位要求:
17-25岁，无明显纹身染发，能吃苦耐劳，可以长期做的
上班时间:
8小时(加吃饭时间总9小时)，月休4天
薪资待遇:
有经验一般保底是4800-6000左右/月+绩效奖金，月综合薪资5000-7000左右;不包住，包吃二餐! 面试时或试工时会定级定保底!!!
其他福利:
法定日三薪，假如加班的话，有加班费，还有两头班补贴等，每个月发放免费饮品券2张，买一赠一券2-3张。","工作地点
深圳南山区gaga(益田假日广场店)
查看地图"
餐饮店服务员,4000-6000元,经验不限,学历不限,"职位描述
烧烤店
全勤奖金
工龄奖金
免费工装
节日福利
岗位职责：
1、按时到岗，接受主管分配的任务。
2、做好所辖区域环境、物品设备、餐具用具的卫生清洁工作。
3、做好开餐前的各项准备工作，及时按要求补充各种物品。
4、按照标准和要求，规范摆台，布置餐厅，了解预定及菜品酒水信息。
5、按照餐厅规定的服务标准和程序细心周到地做好各个环节（如迎客、点菜、巡台、起菜、买单、送客等）的对客服务工作。
任职要求：
1.身材相貌佳，无纹身，无犯罪记录。","工作地点
泰州市-海陵区-周山河路与紫金路交汇处666号
查看地图"
北京肯德基总部直招/朝阳区/庙城 肯德基-全职兼职服务员 就近分配/80011086,4000-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全

职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京怀柔区庙城东(公交站)
查看地图"
北京肯德基总部直招/朝阳区/十里河 肯德基-全职兼职服务员 就近分配 / 86001160,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区十里河(地铁站)
查看地图"
北京肯德基总部直招/西城区/三里河肯德基-全职兼职服务员 就近分配/86001073,4000-5000元,三里河,经验不限,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京西城区三里河
查看地图"
高薪诚聘KTV服务员(长期),5000-7000元,经验不限,学历不限,"职位描述
烧烤店
火锅店
酒吧
KTV服务员
餐补
包住
包吃包住
五险一金
工龄奖金
加班补贴
节日福利
需要长期稳定!!!（暑假工、寒假工、兼职勿扰）
我们是一家全国连锁的量贩KTV，全国有五百家，在天津六家线下门店
不符合要求者勿扰 谢谢配合！
1. 任职要求：
(1) 18-30之间；
(2) 热忱、亲和、服务心；
(3) 刻苦耐劳，有上进心；
(4) 接受培训，学习心强。
2. 岗位职责：
带客服务；
包厢服务（送餐、送酒、买单、卫生等）；
走道服务
3. 上班时间：
早12:00-21:00；晚 21:00-06:00 一个月调一次， 月休四天
4. 薪资范围：5500-7000左右
5. 职位福利：提供食宿/餐补、提成奖金、免费培训、班别补贴、生日福利（生日假、生日红包）、工龄奖等
6. 晋升渠道：服务员→辅导员→现场经理→店长→区域总监","工作地点
河西区星聚会KTV(天津河西梅江环宇城店)4
查看地图"
佛罗伦萨服务员月薪4k,3000-4000元,经验不限,学历不限,"职位描述
咖啡店
免费工装
节日福利
楼面实习生（入职买五险一金）
工作内容：辅助门店管理，内外场都会做
工作时间：早9-17,晚13-21:30，一天8-9个小时，月休4天
职位要求：18-40岁，男女不限，性格不能太内向，抗压能力强
薪资待遇：综合时薪3500-4000+路补200","工作地点
鄂州华容区肯德基(佛罗伦萨店)
查看地图"
餐厅服务员,3000-4000元,经验不限,学历不限,"职位描述
火锅店
我们正在招聘一位专业服务员，为高端餐厅提供优质的客户服务。
工作内容：
熟练掌握菜单知识，为客人提供专业的餐饮建议；
确保餐厅环境整洁，布置规范；
根据客户需求，提供酒水推荐和配餐建议；
处理客户的投诉和意见，及时上报并跟进；
配合餐厅的运营和推广活动。
岗位要求：
1. 身体健康，形象良好；
2. 高中及以上学历，有相关专业背景优先；
3. 有高端餐饮服务经验者优先；
4. 良好的沟通能力和应变能力；
5. 对待工作认真负责，具有团队精神。","工作地点
荆州市沙市区北京中路239号
查看地图"
烤肉店服务员（包吃住）,4000-5000元,谢家湾,经验不限,"职位描述
包吃包住
工作内容：
1‌.准备工作‌：服务员需要在开餐前做好各项准备工作，如布置餐厅、摆台、补充各种物品等‌
2.卫生清洁‌：负责餐厅的环境、台面、地面的整洁和清洁工作，确保餐厅处于良好的卫生状态‌
薪资：3800（试用期3600）+菜品提成，1-3个月转正
工作时间分为 ：早班：9：30—21：00；晚班：11：00—22点营业结束（不值班午休14-16点），完成收档工作就下班
上班地点：礼嘉龙湖天街 谢家湾万象城","工作地点
九龙坡区重庆华润万象城1
查看地图"
周末双休/包吃住服务员/6500,5000-7000元,经验不限,学历不限,"职位描述
中餐厅
包吃包住
周末双休
节日福利
一、薪资福利
综合薪资5.5-6.5K，包吃包住，周末双休，法定节假日带薪休假，满一年享5天带薪年休假、缴纳五险、三节福利
晋升空间大：服务员-主管-项目副经理-项目经理
二、任职要求
1、亲和力佳、能吃苦耐劳、学习能力强、有服务意识
2、有餐饮行业从业经验优先
三、岗位职责
1、负责内部单位宴请接待服务
2、无接待时负责协助餐厅对客接待
3、负责店面卫生前台的清洁等
4、上级领导安排的其他工作
上班时间：8:30-19:00，中午休息13:00-15:00","工作地点
上海青浦区诸光路附近
查看地图"
中餐厅服务员,3000-5000元,1-3年,学历不限,"职位描述
中餐厅
一、岗位职责
1、主导宴会厅上菜、传菜及全程服务，兼顾员工餐厅日常服务；
2、负责餐厅（含宴会厅），餐具清洗消毒，维护用餐环境整洁；
3、协助厨师完成食材拆理洗等备餐工作；
二、任职要求
1、中专及以上学历，1 年以上餐饮 / 宴会服务经验者优先；
2、持有效健康证，身体健康，无传染性疾病；
3、掌握餐饮服务基础技能，熟悉食堂常用设备操作；
4、服务意识强，耐心负责，重视食品安全与卫生；
三、工作时间
正常9：30-18：00
有宴请活动时下班时间根据宴会结束时间调整
宴请活动当天可享受 20 元 / 次打车补贴。","工作地点
市北区青岛东软载波创新中心
查看地图"
北京肯德基总部直招/东城区/搜秀肯德基-全职兼职服务员 就近分配/86001388,4001-5000元,经验不限,高中,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京东城区崇文门地铁站G东南口
查看地图"
日料连锁店前厅服务员5000--7000元/月，包吃包住,5000-7000元,经验不限,学历不限,"职位描述
包吃包住
五险一金
日料店
日料连锁店前厅服务员
【岗位要求】
1．16-27 周岁，学历不限，无不良记录和嗜好。
2.身体状况符合国家餐饮行业要求；
3.执行力强：有责任心，能严格按照标准操作；
4.乐观热情：热情礼貌，喜欢从事餐饮行业
5.勤奋好学：有强烈的学习意愿；
6.热爱挑战：适应晚班和高效的工作节奏。
三、【薪资标准】
广州全勤保底4500-5000元/月，全勤综合工资5000--7000元/月，实行计件工资制，多劳多得，入职后经考核认证评定初、中、高级员工，包食宿
四、【福利待遇】
1.法定节假日三薪，包食宿
2.工龄奖
3.满3个月健康证费用报销；
4.入职可享受五险和商业保险；
5.摩打关注每一位伙伴的成长和发展，有定期的食品安全培训、岗位培训、职位进阶培训、读书分享会；
6.享受法定年假和摩打福利假（满一年5天，第二年7天，30天封顶~）
7.上述福利待遇的享受条件和适用范围以公司福利制度为准。
五、【发展空间】（经竞聘考核后可入职）
途径：伙伴--经理--总管--店长","工作地点
增城区永旺梦乐城(广州新塘店)摩打食堂日料店
查看地图"
北京肯德基总部直招/西城区/宣外肯德基-全职兼职服务员 就近分配/86001171,4000-5000元,宣武门,经验不限,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全
职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京西城区宣武门(地铁站)
查看地图"
5~7k/西餐厅服务员/包吃,5000-7000元,经验不限,学历不限,"职位描述
节日福利
法定三薪
免费饮品
深圳西餐厅招募新伙伴啦✨
工作内容:
厨师：厨师主要负责意粉，沙拉，汉堡，小吃和西式饭类制作
水吧：调制咖啡、奶茶、果饮，保持吧台整洁
服务员：协助客人点餐，上菜，摆台，擦桌子，收拾餐具等
岗位要求:
17-25岁，无明显纹身染发，能吃苦耐劳，可以长期做的
上班时间:
8小时(加吃饭时间总9小时)，月休4天
薪资待遇:
有经验一般保底是4800-6000左右/月+绩效奖金，月综合薪资5000-7000左右;不包住，包吃二餐! 面试时或试工时会定级定保底!!!
其他福利:
法定日三薪，假如加班的话，有加班费，还有两头班补贴等，每个月发放免费饮品券2张，买一赠一券2-3张。","工作地点
深圳南山区gaga(金地威新中心店)
查看地图"
服务员,6000-7000元,1-3年,大专,"职位描述
加班补贴
岗位职责：
1、负责包厢服务接待工作，包括但不限于迎送接待，餐前餐具等准备擦拭和摆台，餐中服务，餐后撤台，餐食分类倾倒，餐具回收水池等工作。
2、负责日常会务接待工作，包括但不限于准备茶水点心、卡水牌制作、招待客户、礼品准备等。
3、负责品鉴及用餐酒杯清洁工作。
4、负责接待物资管理，包括但不仅限于接待用餐具、软饮料及矿泉水等物资出、入库管理和盘点工作，建立台账。
5、负责辅助配合完成部分行政和清洁工作。
6、工作场所相关的设备设施异常及时汇报等。
7、服从和完成领导安排的其他工作和事宜。
任职资格
大专及以上学历，行政管理相关专业优先
2年以上服务接待相关工作经验，熟悉常见的办公软件
形象佳，具备一定的服务意识
协调能力较强，具备良好的语言沟通、表达能力
不包吃住，有餐补","工作地点
上海长宁区安诺品鉴中心
查看地图"
