职位,薪水,经验,学历,关键词,工作地址
餐厅服务员,3000-5000元,经验不限,学历不限,"职位描述
中餐厅
主要职责：
1、准时到岗，接受主管分配的任务。
2、认真做好所辖区域环境、物品设备、餐具用具的卫生清洁工作。
3、做好开餐前的各项准备工作，及时按照要求补充各类物品。
4、按照标准和要求，规范进行摆台，布置餐厅，了解预定及菜品酒水信息。
5、按照餐厅规定的服务标准和程序，细心周到地做好各个环节（如迎客、点菜、巡台、起菜、买单、送客等）的对客服务工作。
6、办公地点：机动河下、邦德云鼎
岗位要求：
1.年龄在25 - 35岁之间，普通话流利，了解基本的餐饮礼仪。
2.形象良好，无纹身，身体健康，持有有效健康证（必备），无传染性疾病。
3.无不良从业记录，具备基本的食品安全意识。","工作地点
淮安淮阴区鼎卫医学检验所
查看地图"
【可日结】即墨大悦春风里必胜客服务员J14514,2500-3500元,经验不限,学历不限,"职位描述
中餐厅
西餐厅
烧烤店
免费工装
节日福利
【工作内容】
对客类工作：满足顾客需要，从事基础工作（接待、传餐、等），给顾客带来完美用餐体验。
产品制作类工作：直接参与食品、饮料等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺。
【招聘对象】
学生兼职：年满18周岁，在校大学生，有学生证
社会兼职：退休证
灵活用工：空余时间多，灵活排班
实习生：专三/本四可全天实习的学生。
【岗位要求】
1、年满18-56周岁
2、热情开朗，正直诚信，善于与人沟通
3、适应快节奏、高效的工作环境","工作地点
青岛即墨区必胜客(大悦春风里店)
查看地图"
【可日结】平度必胜客餐厅服务员J14507,2500-3500元,城关,经验不限,"职位描述
中餐厅
西餐厅
烧烤店
免费工装
节日福利
【工作内容】
对客类工作：满足顾客需要，从事基础工作（接待、传餐、等），给顾客带来完美用餐体验。
产品制作类工作：直接参与食品、饮料等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺。
【招聘对象】
学生兼职：年满18周岁，在校大学生，有学生证
社会兼职：退休证
灵活用工：空余时间多，灵活排班
实习生：专三/本四可全天实习的学生。
【岗位要求】
1、年满18-56周岁
2、热情开朗，正直诚信，善于与人沟通
3、适应快节奏、高效的工作环境","工作地点
青岛平度市必胜客(平度利群店)
查看地图"
【日结】济南全区域必胜客招募兼职服务员(过年供班就近分配)J14478,2000-3000元,经验不限,学历不限,职位描述西餐厅免费工装节日福利免费培训您将从事： 对客服务类工作：满足顾客需要，给顾客带来完美用餐体验 产品制作类工作：参与比萨、牛排等多种产品的制作，学习国际连锁西餐厅的高标准制作工艺招聘对象：在校生可在周末、寒暑假等课余时间提供工时 有本职工作，利用空余时间到餐厅兼职  辞职过度、实习兼职都可以  您需具备：   18周岁以上，55岁以下   有服务热情，能适应快速工作节奏   有良好的沟通能力和团队配合精神  您将得到：   “关爱成员的大家庭”企业文化   与年轻的伙伴快乐共事，感受充满激情的团队氛围   弹性安排工作时间，按时计算报酬   工作容易上手，工作强度有张有弛，岗位之间合理轮换  薪资福利：   时薪制，享受雇主责任险，早晚班津贴   系统专业的培训，提升职场经验和软性技能  发展空间：   服务员→训练员→值班组长→更高管理职位,"工作地点
历城区济南世纪大道万达广场必胜客
查看地图"
北京肯德基总部直招/朝阳区/万惠 肯德基-全职兼职服务员 就近分配/86001024,4001-5000元,呼家楼,经验不限,"职位描述
餐饮服务
洗碗工
客房服务
传菜员
西餐厅服务员
卫生清洁
迎宾
食品健康证（A类）
餐饮服务
肯德基总部直聘全职兼职服务员，肯德基门店就近分配，时间地点你决定，上班全都看心情，欢迎您的加入！
【工作地点】：肯德基门店就近分配，您可以地图搜索您上班方便的肯德基门店
【福利待遇】：
1、肯德基门店就近分配，无试用期，无押金
2、上班员工享受企业内部专享特惠员工餐
3、工作时间灵活，长短期均可，根据您的空闲时间和餐厅需求进行排班，5-8小时均可，月工作175小时享受额外的月度全勤奖
4、法定节假日三倍薪资，全职可享带薪年假、病假、婚假、产假等
5、学生兼职可提供实习证明，体验制度成熟的管理运作模式，有广阔的发展空间，大专学历在毕业前可升迁为储备经理
6、享有高颜值的工作环境，免费提供时尚高颜值制服，全方位开放的中央空调，冬暖夏凉，员工休息室内冰箱，饮水机，微波炉，数字电视，wifi上网一应俱全

职位福利：五险一金、带薪年假、节日福利、弹性工作、夜班津贴、免费培训、兼职全职皆可

职位亮点：餐饮服务卫生清洁宴会服务西餐厅服务","工作地点
北京朝阳区金台夕照地铁站B东北口
查看地图"
新店招聘！5-7k服务员+包两餐,5000-7000元,1年以下,学历不限,"职位描述
寿司店
包两餐
店铺名称：长沙招商花园城店
面试地点：湖南省长沙市芙蓉区黄兴中路88号（平和堂五一店）B1F楼63号铺
后期工作地点：观沙岭招商花园城滨寿司
应聘要求：
无纹身，可接受洗碗
1.外场：服务客人，制作饮品，收银等；
2.厨房：餐品制作，快速出餐等；
3.切鱼间，鱼类切配等；
4.以上职位，均需要严格执行店铺卫生管理制度；
5.吃苦耐劳","工作地点
长沙岳麓区观沙岭招商花园城滨寿司
查看地图"
西餐服务员 月入5-6K 包吃住,5000-6000元,1-3年,学历不限,"职位描述
中餐厅
西餐厅
包吃包住
全勤奖金
工龄奖金
免费工装
节日福利
法定三薪
晋升空间
服务员
【招聘岗位】：餐饮服务员
【岗位职责】：上菜 餐具摆放 服务态度好就可以 努力勤奋，踏实肯干
【上班时间】：排班制上班 法定三薪
【上班待遇】：包吃包住
【薪资构成】：薪资5000-6000左右面试定薪","工作地点
杭州余杭区良渚街道2
查看地图"
急聘骑手福利好自由度高,4000-6000元,经验不限,学历不限,"职位描述
火锅店
包吃包住
全勤奖金
工龄奖金
职位详情
无经验要求 包住 包吃
[岗位职责]
-为顾客提供热情，周到的服务
-协助餐厅日常运营，如点单，上菜，收拾餐桌等
[职位要求]
-无经验要求，学历不限
-工作态度认真负责，有服务意识[工作时间]
-具体时间班次面议[薪资福利]
-综合薪资：2500-3500元 -奖金：全勤奖金
-福利：包吃，包住","工作地点
城东区西宁站
查看地图"
餐厅服务员,5000-6000元,3-5年,学历不限,"职位描述
五险一金
节日福利
一、岗位职责
日常运营与服务：负责餐厅堂食区及包间的日常服务运营工作，确保用餐环境整洁、有序。

宾客接待与服务：热情接待宾客，提供点餐、传菜、酒水服务及席间巡台，确保服务及时、周到。

收银与结算：准确、高效地完成午餐、晚餐时段的收银结账工作。

清洁与维护：负责所辖区域（包括堂食区、包间、服务台等）的餐前准备、餐后清洁及日常卫生维护工作。

包间专项服务：在包间接待期间，专职负责传菜、席间服务、酒水添置及餐后整理工作，确保高端接待体验。

团队协作：根据运营需要，积极配合厨房、传菜部等其他部门，完成临时指派的工作任务。

二、任职要求
基本条件：年龄50岁以下，身体健康，仪表端正，具备良好的服务意识与沟通能力。

工作经验：拥有2年及以上餐厅服务工作经验。具备酒店包间、中高端私房菜或正式宴会服务经验者优先考虑。

技能要求：熟悉餐厅服务流程，能独立完成接待、点餐、收银、清洁等全套服务工作。掌握基本包间服务礼仪者更佳。

职业素质：工作积极主动，吃苦耐劳，责任心强，具备良好的团队合作精神，能适应餐饮行业的工作节奏。","工作地点
浦口区凤麟核(南京基地)
查看地图"
星级酒店餐饮部服务员包三餐,4000-5000元,1-3年,学历不限,"职位描述
节日福利
免费工装
酒店
酒楼
酒店餐厅
包三餐
晋升
有餐饮服务经验
形象好
工作内容：
（1）热情接待顾客，保持餐厅环境整洁，确保餐具和用餐区域的卫生。
（2）协助厨师准备食材，参与简单的菜品制作。
（3）积极参与团队合作，共同完成餐厅运营任务。
任职要求：
（1）有餐饮行业经验，年龄30-40岁，身体健康，形象良好。
（2）具备良好的沟通能力和服务意识，能够适应快节奏的工作环境。
（3）品行端正，责任心强，具备基本的团队合作精神，乐于助人。
薪资待遇：薪资4000元/月，每月20日发薪。供三餐（无住宿），节假日福利
出勤时间：6:30-15:30，，做六休一","工作地点
沈阳市-和平区-南八马路45号蓝鹰宾馆
查看地图"
