职位,关键词,薪水,工作经验,学历,工作地址,公司,公司情况
新媒体文案编辑,"短视频平台
抖音",6000-7000元,经验不限,大专,天津·红桥·西沽,天津古运芳华文化传媒有限公司,"民营
         
          20-99人
         
          文化艺术/娱乐"
新媒体文案,图文内容,5000-7000元,1-3年,大专,天津·东丽·华明,天津应大会员店有限公司,"民营
         
          100-299人
         
          电子商务"
新媒体运营,"短视频平台
抖音
快手
微信视频号",6000-12000元,3-5年,大专,天津·北辰·天穆,天津大信家居有限公司,"民营
         
          100-299人
         
          装饰装修"
新媒体编辑实习岗,,1000-2000元,经验不限,大专,天津·津南·双港,天津市中尚传媒股份有限公司,"股份制企业
         
          20-99人
         
          广播/影视"
新媒体编辑,"新媒体编辑
写作
文字编辑
新闻类",6000-8000元,3-5年,大专,天津·南开·水上公园,天津市讯星科技发展广告有限公司,"民营
         
          20-99人
         
          广告/营销"
新媒体编辑,"图文内容
新闻类
政务类",6000-8000元,1-3年,本科,天津·东丽·华明,天津辉宏科技发展有限公司,"民营
         
          20-99人
         
          IT服务"
新媒体推广专员,"新媒体编辑
策划
视频内容
汽车类
短视频平台
抖音
微信视频号
快手",4000-6000元,1-3年,大专,天津·北辰·天穆,天津车悦畅商贸有限公司,"民营
         
          20-99人
         
          零售/批发"
新媒体编辑,,5000-7000元,经验不限,本科,天津·东丽·华明,天津市中尚传媒股份有限公司,"股份制企业
         
          20-99人
         
          广播/影视"
