职位,薪水,关键词,经验,学历,工作地址,公司,公司情况
黄鹤楼烟酒槟榔配送骑手,7000-11000元,会骑电动车,经验不限,学历不限,武汉·东西湖·吴家山,武汉东亿科技有限公司,"民营
         
          100-299人
         
          餐饮服务"
【2026届校招】氦质谱检漏仪销售工程师,8000-12000元,"KA大客户
区域销售",无经验,硕士,合肥·蜀山·高新区,安徽皖仪科技股份有限公司,"上市公司
         
          1000-9999人
         
          仪器仪表制造"
小学科学教师,9000-10000元,"科学课
线下授课
集体授课
授课老师
小学科学
科学老师
科学教师",经验不限,本科,成都·青羊·少城,职联千业(四川)人力资源服务有限公司,"100-299人
         
          人力资源服务"
java-收银收单,1-1.4万,"Spring
Mybatis
MySQL
MongoDB
餐饮
商超
收银",5-10年,本科,重庆·江北,重庆瑞利斯科技有限公司,"民营
         
          20-99人
         
          计算机软件"
档案文员,120-150元/天,"档案录入
档案整理
认真细心
有责任心",无经验,高中,济南·历下·姚家,深圳市世纪伟图科技开发有限公司,"民营
         
          100-299人
         
          计算机软件"
资深PLC工程师-专家组 (MJ041179),2-3万,"PLC设计
西门子
三菱
欧姆龙
电气设备
自动化设备
非标设备",5-10年,本科,宜宾·翠屏区·宋家镇,宁德时代新能源科技股份有限公司,"民营
         
          10000人以上
         
          电子设备制造"
固定门店配送员300一天,5000-10000元,"无驾照要求
食品饮料
生活日用
生鲜
按区域配送
会骑电动车
熟练使用导航
无犯罪记录",经验不限,学历不限,西安·碑林·文艺路,陕西盛世博雅餐饮管理有限公司,"其它
         
          20-99人
         
          货运/物流/仓储"
文职客服/朝九晚六/双休/接受应届生 7-8K·13薪,8000-16000元·13薪,"售后客服
电话客服
网络客服
全白班",经验不限,高中,深圳·罗湖·笋岗,上海迪扬信息科技有限公司,"民营
         
          1000-9999人
         
          银行"
送蔬菜水果月薪8K起/提供车住,8000-10000元,"只送一个门店生鲜
每天60-120单，系统派单
连锁门店，全深圳就近安排
会导航会开电动车就行
提供吃住
包住
可预支薪水
高温补贴
节日福利
底薪加提成",无经验,学历不限,惠州·惠城区·桥西街道,深圳市大棕熊同城配送有限公司,"其它
         
          20-99人
         
          货运/物流/仓储"
实验室技术员,8000-10000元,,经验不限,硕士,深圳·南山·桃源,深圳量视科技有限公司,"其它
         
          20-99人
         
          电子/半导体/集成电路"
电商运营经理,8000-12000元,"淘宝/天猫
京东
拼多多
店长
主管",1-3年,大专,西安·未央·建章路,陕西熊猫健康大药房连锁有限公司,"民营
         
          100-299人
         
          零售/批发"
腾讯云智服用户服务专员（游戏）,4000-5000元,"网络客服
电话客服",经验不限,大专,银川·金凤区·北京中路街道,腾讯云智服科技(重庆)有限公司,"1000-9999人
         
          互联网"
工程预结算员,9000-15000元,电力工程,3-5年,本科,长沙·开福·芙蓉北路,湖南鑫宏阳建设有限公司,"20-99人
         
          工程施工"
八小时工作制+五险+可小白,5000-9000元,全白班,经验不限,学历不限,自贡·自流井区·学苑街道,中国大地财产保险股份有限公司,"国企
         
          10000人以上
         
          保险"
美容师（龙岗）,9000-10000元,"纹绣
祛斑",3-5年,学历不限,深圳·龙岗·龙城,深圳铂尔曼医疗美容诊所,"100-299人
         
          美发/美容/保健"
