职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
java软件开发工程师（天津）,1-1.5万,"MyBatis
PostgreSQL
Redis
SpringCloud
SpringBoot
Python
GIS",3-5年,本科,天津·南开·广开,北京侏罗纪信息科技有限公司,"民营
         
          20-99人
         
          计算机软件"
后端开发,1-1.5万,"Spring
Mybatis
Redis
RPC
MySQL",3-5年,本科,天津·滨海新区·杭州道,上海辛玮智能科技有限公司,"民营
         
          20-99人
         
          IT服务"
全栈开发工程师,1-1.5万,JavaScript,3-5年,本科,天津·河东·大王庄,长沙盈海智能科技有限公司,"民营
         
          20-99人
         
          人工智能"
Java后端开发(大厂 不加班),1.1-2万,"Spring
Java
MySQL
Oracle",5-10年,本科,天津·东丽·军粮城,科锐尔人力资源服务(苏州)有限公司,"上市公司
         
          10000人以上
         
          咨询服务"
后端开发实习生（25、26届）,150-200元/天,MySQL,无经验,本科,天津·滨海新区·杭州道,上海辛玮智能科技有限公司,"民营
         
          20-99人
         
          IT服务"
高级开发工程师(J13040),2-2.5万,JavaScript,经验不限,本科,天津·武清·徐官屯,北京诺禾致源科技股份有限公司,"民营
         
          1000-9999人
         
          医药制造"
密码产品研发岗,1-1.6万,"Java
Spring
Mybatis",1-3年,本科,天津·西青·西营门,天津数字经济产业集团有限公司,"国企
         
          500-999人
         
          云计算/大数据"
java中高级工程师,1.5-3万,JavaScript,3-5年,硕士,天津·西青·中北,中汽数据有限公司,"国企
         
          500-999人
         
          IT服务"
java工程师,2.2-4万,"Python
CSS
JavaScript",3-5年,本科,天津·南开·万兴,苏州人瑞普惠人力资源服务有限公司,"上市公司
         
          20-99人
         
          互联网"
高级java工程师,1.2-1.5万,"JavaScript
Spring
MySQL
Oracle
政务项目经验",5-10年,大专,天津·和平·五大道,思创数码,"股份制企业
         
          500-999人
         
          计算机软件"
软件开发岗（2026校招）,6000-8000元,"MySQL
DB2",无经验,本科,天津·和平·小白楼,泰康人寿保险有限责任公司天津分公司,"民营
         
          100-299人
         
          保险"
Java工程师,1.3-2.6万,,1-3年,本科,天津·南开·学府,苏州人瑞普惠人力资源服务有限公司,"上市公司
         
          20-99人
         
          互联网"
高级Java后端开发工程师（微服务 & AI智能体方向）,8000-10000元,"Java
Spring
AI
后端开发
react
JavaScript",3-5年,本科,天津·滨海新区·杭州道,天津挺汇集团有限公司,"股份制企业
         
          100-299人
         
          农/林/牧/渔"
后端JAVA开发工程师,1-1.5万,JavaScript,5-10年,本科,天津·西青·精武镇,允公致远(天津)新能源科技有限公司,"民营
         
          20-99人
         
          新能源"
Java,130-150元/天,"JavaScript
Spring
MySQL",无经验,本科,天津·西青·中北,天津易商数智科技有限公司,"100-299人
         
          互联网"
Java（滨海）,1.1-1.5万,"JavaScript
Spring
MySQL
PostgreSQL",5-10年,本科,天津·滨海新区·杭州道,京北方,"民营
         
          10000人以上
         
          IT服务"
java开发,8000-12000元,"Spring
MySQL",3-5年,本科,天津·和平·南营门,啄米科技(天津)有限责任公司,"20-99人
         
          互联网"
JAVA开发工程师,1.2-1.9万·14薪,,1-3年,本科,天津·滨海新区·塘沽,中企云链股份有限公司,"民营
         
          1000-9999人
         
          互联网"
高级java开发工程师,1.7-2.8万·13薪,"JavaScript
Spring
MySQL",5-10年,本科,天津·滨海新区·杭州道,大连弗斯特高新人才发展管理有限公司,"民营
         
          100-299人
         
          咨询服务"
