职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
档案扫描文员,4000元,"档案录入
档案整理
档案数字化",1-3年,本科,天津·津南·辛庄,北京欣云海科技有限公司北京第一分公司,"20-99人
         
          企业服务"
档案管理,5000-8000元,档案整理,经验不限,大专,天津·河西·陈塘庄,天津安信晟电子商务有限公司,"民营
         
          20-99人
         
          互联网"
档案实习生,120-130元/天,"档案整理
档案数字化",无经验,本科,天津·滨海新区·杭州道,北京外企人力资源服务天津有限公司,"国企
         
          20-99人
         
          人力资源服务"
档案管理,3000-5000元,"档案整理
档案录入",经验不限,大专,天津·河西·桃园,天津市优尔特企业管理咨询有限公司,"股份制企业
         
          20-99人
         
          咨询服务"
售后档案管理员双休不加班 6-11K 13薪,6000-10000元·13薪,档案整理,经验不限,学历不限,天津·滨海新区·汉沽,中国人寿保险股份有限公司天津市分公司,"国企
         
          500-999人
         
          保险"
文档管理员,5000-8000元,"保密管理
档案录入
档案整理",经验不限,大专,天津·和平·小白楼,中国人寿保险股份有限公司天津市和平区支公司(笙泉直属团队),"国企
         
          1000-9999人
         
          保险"
档案管理员,4000-6000元,"档案录入
档案整理",1-3年,大专,天津·滨海新区·杭州道,天津泰达弘泰物业服务有限公司,"国企
         
          100-299人
         
          物业管理"
档案管理（会分件、编码）,4000-6000元,"档案分件
熟悉档案分类规则",5-10年,大专,天津·西青·西营门,天津市协力智能制造有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
档案数字化专员,4000-7000元,"档案整理
档案录入
档案扫描",3-5年,大专,天津·滨海新区·北塘,天津正和管理咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
档案管理文员,100-120元/天,"档案录入
档案整理
经管类专业优先",无经验,本科,天津·南开·长虹,天津信达岳璟供应链有限公司,"其它
         
          20-99人
         
          零售/批发"
档案文员-天津项目,3000-5000元,档案整理,经验不限,大专,天津·河西·下瓦房,国印科技(北京)有限公司,"民营
         
          20-99人
         
          计算机软件"
档案数字化项目经理,5000-8000元,"档案数字化
档案管理体系建设
档案整理",3-5年,大专,天津·滨海新区·北塘,天津正和管理咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
档案整理员,100-120元/天,"档案整理
档案数字化
档案录入",无经验,大专,天津·和平·五大道,中智天津人力资源服务有限公司,"国企
         
          20-99人
         
          专业技术服务"
【档案管理员】包食宿,7000-13000元·13薪,"朝九晚六
年终奖
五险一金",经验不限,本科,天津·河西·大营门,石家庄财码科技服务有限责任公司,"民营
         
          300-499人
         
          网络/信息安全"
档案管理,5000-8000元,档案管理,经验不限,高中,天津·河西·陈塘庄,天津安信晟电子商务有限公司,"民营
         
          20-99人
         
          互联网"
