职位,薪水,关键词,工作经验,学历,工作地点,公司,公司情况
服务器与系统巡检（TJ）,6000-7000元,"IDC/机房运维
系统运维
服务器运维
Docker
Vmware
KVM",经验不限,学历不限,天津·东丽·华明,同创双子(北京)信息技术股份有限公司,"上市公司
         
          100-299人
         
          IT服务"
软件系统运维人员,6000-8000元,系统运维,1-3年,本科,天津·东丽·华明,天津华慧智能科技有限公司,"民营
         
          20-99人
         
          云计算/大数据"
IDC运维工程师,7000-8000元,"IDC/机房运维
服务器运维
系统运维",3-5年,大专,天津·宝坻·朝霞,北京赛博基石科技有限公司,"20-99人
         
          人工智能"
电站运维工程师,4000-5000元,,1-3年,学历不限,天津·滨海新区·杭州道,天津中海津信物业服务有限公司,"国企
         
          1000-9999人
         
          物业管理"
运维工程师（天津）(J14243),9000-11000元,"系统运维
云运维
服务器运维",1-3年,大专,天津·东丽·万新,北京神州数字科技有限公司,"上市公司
         
          10000人以上
         
          计算机软件"
软件平台运维工程师（天津）,6000-9000元·14薪,,1-3年,本科,天津·津南·双港,力合科技(湖南)股份有限公司,"上市公司
         
          500-999人
         
          仪器仪表制造"
巡检技术员,5000-7000元,,1-3年,中专/中技,天津·滨海新区·北塘,北京宣博弘伟科技有限公司,"股份制企业
         
          100-299人
         
          通信/网络设备"
it运维工程师,5000-6000元,,1-3年,大专,天津·和平·小白楼,大连天港科技集团有限公司,"民营
         
          500-999人
         
          IT服务"
idc运维工程师,5000-8000元,"IDC/机房运维
服务器上下架
硬件更换
服务器故障排除",1-3年,大专,天津·北辰·西堤头,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
数据中心运维,7000-8000元,IDC/机房运维,1-3年,学历不限,天津·武清·东马圈,科锐尔人力资源服务(苏州)有限公司,"上市公司
         
          100-299人
         
          咨询服务"
办公运维工程师,7000-10000元,"网络运维
系统运维
IDC/机房运维
Python",3-5年,本科,天津·东丽·华明,未来电视有限公司,"国企
         
          500-999人
         
          互联网"
idc运维工程师,5000-8000元,"IDC/机房运维
服务器上下架
硬件更换
服务器故障排除",1-3年,大专,天津·宝坻·朝霞,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
运维工程师（天津）,8000-12000元,,3-5年,本科,天津·滨海新区·新河,武汉宝信信息技术有限公司,"100-299人
         
          计算机软件"
运维软件本部,1-1.1万,,经验不限,高中,天津·河西·友谊路,北京怡景人力资源服务有限公司,"100-299人
         
          人力资源服务"
数据中心运维主管（值班长）,8000-10000元,IDC/机房运维,1-3年,中专/中技,天津·武清·大王古庄,中金数据集团有限公司,"民营
         
          100-299人
         
          IT服务"
应急工程师,6000-8000元,,3-5年,大专,天津·滨海新区·北塘,北京宣博弘伟科技有限公司,"股份制企业
         
          100-299人
         
          通信/网络设备"
运维数据库岗周休二,1-1.1万,,经验不限,中专/中技,天津·河西·友谊路,北京怡景人力资源服务有限公司,"100-299人
         
          人力资源服务"
软件运维工程师,4000-8000元,系统运维,经验不限,学历不限,天津·西青·西营门,天津卓信软件开发有限公司,"合资
         
          100-299人
         
          计算机软件"
运维工程师岗,4000-5000元,运维,3-5年,本科,天津·河西·尖山,天津数字经济产业集团有限公司,"国企
         
          500-999人
         
          云计算/大数据"
变电站运维工程师,5000-8000元,,1-3年,大专,天津·东丽·万新,赢润(天津)综合能源规划设计有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
运维工程师,9000-15000元,"系统运维
云运维
Java
Shell",5-10年,本科,天津·滨海新区·杭州道,京北方,"民营
         
          10000人以上
         
          IT服务"
信息化运维工程师,5000-7000元·13薪,"Windows
安全运维
系统运维
数据库运维",1-3年,本科,天津·河西·尖山,天津光电聚能通信股份有限公司,"国企
         
          100-299人
         
          通信/网络设备"
驻场运维工程师,4000-6000元,"IDC/机房运维
服务器运维",1-3年,大专,天津·滨海新区·杭州道,海之蝶(天津)科技有限公司,"股份制企业
         
          20-99人
         
          计算机软件"
idc机房运维工程师,5000-8000元,"IDC/机房运维
linux
服务器运维",1-3年,大专,天津·宝坻·朝霞,北京亚康智算科技有限公司,"上市公司
         
          1000-9999人
         
          IT服务"
IDC驻场运维工程师,5000-10000元,"IDC/机房运维
服务器运维
数据库运维
Nginx
Tomcat
Vmware",3-5年,大专,天津·宝坻·朝霞,清云云计算(深圳)有限公司,"20-99人
         
          人工智能"
公共设备运维工程师,8000-9000元,"系统运维
IDC/机房运维",1-3年,大专,天津·东丽·军粮城,美筑达(天津)工程有限公司,"民营
         
          20-99人
         
          装饰装修"
光伏运维技术人员（可接受全国出差）,8000-10000元,,1-3年,大专,天津·南开·学府,天津发现技术有限公司,"民营
         
          20-99人
         
          新能源"
