职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
销售客服专员（六险一金、双休、17天年假)（MJ023785）,8000-12000元,"企业客户
KA大客户",1-3年,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
外呼专员/电销专员/电话营销,4000-8000元,"个人客户
电话销售",1-3年,大专,天津·河西·尖山,天津市天行校外托管服务有限公司,"民营
         
          20-99人
         
          培训/辅导服务"
车险续保招聘 底薪2250+高提成 五险一金,7000-8000元,"企业客户
KA大客户",经验不限,大专,天津·西青·张家窝,天津优聘企业管理有限公司,"股份制企业
         
          20-99人
         
          人力资源服务"
电话销售（提供优质资源） (MJ019358),1.2-2万,"企业客户
个人客户
电话销售
销售",经验不限,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
DCC邀约专员/电话客服,5000-10000元,网电销专员,1年以下,大专,天津·北辰·小淀,天津市浩物机电汽车贸易有限公司,"国企
         
          1000-9999人
         
          汽车研发/制造"
电话销售（双休，五险，正常上下班）,5000-8000元,,1年以下,大专,天津·北辰·双街,天津市汇信燃气设备有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
高薪销售（提供住宿+客源公司提供）(MJ021177),7000-12000元,"KA大客户
企业客户
政府客户
电话销售
网络销售
面销",无经验,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
话务员（兼职）电话销售,100元/天,,1年以下,学历不限,天津·红桥·西于庄,天津捷扬世纪教育科技有限公司,"民营
         
          20人以下
         
          培训/辅导服务"
销售专员 双休 包吃包住,5000-10000元,"销售专员
院校客户",1-3年,大专,天津·滨海新区·杭州道,天津市联众伟业劳务派遣有限公司,"民营
         
          100-299人
         
          人力资源服务"
提供客户的电话销售岗+月入稳定过万 (MJ017998),1.1-1.5万,"KA大客户
企业客户
个人客户
电话销售经验
售后维护服务",经验不限,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
跨越高薪无责底薪直招销售6800,6000-12000元,"电话销售
面销",1-3年,大专,天津·河北·铁东路,跨越速运,"民营
         
          10000人以上
         
          货运/物流/仓储"
电话销售客服 周末双休,5000-10000元,院校客户,3-5年,大专,天津·滨海新区·杭州道,天津市联众伟业劳务派遣有限公司,"民营
         
          100-299人
         
          人力资源服务"
销售客服（坐班+早九晚六双休）-LBG(J30565),5000-8000元,企业客户,经验不限,学历不限,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
无责底薪招销售岗,7000-14000元,,1-3年,大专,天津·西青·精武镇,跨越速运,"民营
         
          10000人以上
         
          货运/物流/仓储"
电话销售经理 双休不加班,5000-10000元,"院校客户
校企合作会议
电话销售
会议销售",3-5年,大专,天津·滨海新区·杭州道,天津市联众伟业劳务派遣有限公司,"民营
         
          100-299人
         
          人力资源服务"
电商客服带薪培训双休-LBG(J30565),5000-8000元,,无经验,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
汽车网销邀约专员,6000-10000元,,1-3年,中专/中技,天津·北辰·小淀,天津比亚迪盛世路骐汽车销售有限公司,"外商独资
         
          20-99人
         
          汽车研发/制造"
车商外呼续保坐席,5000-10000元,"个人客户
客服
电话销售
车险",经验不限,大专,天津·河西·陈塘庄,中国太平洋财产保险股份有限公司天津分公司,"国企
         
          500-999人
         
          保险"
六险一金餐补商家顾问（宿舍+食堂）(J29626),9000-15000元·13薪,,经验不限,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
电话邀约客服/不加班/无KPI,1-1.7万,"没有业绩要求
不需要自己拓展客户",经验不限,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
企贷销售经理（高提成）,5000-10000元,企业客户,1-3年,大专,天津·和平·南市,津掘者(天津)企业管理咨询服务有限公司,"民营
         
          20-99人
         
          咨询服务"
滨海新区-双休-商务顾问（MJ025499）,7000-10000元,"KA大客户
企业客户
个人客户",经验不限,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
电话销售 老板人好事少无KPI考核！,7000-14000元,"全职
微波炉
冰箱",经验不限,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
销售专员(无责底薪，双休，五险一金),1-2万,"KA大客户
企业客户
房地产
电话销售",经验不限,大专,天津·河东·大王庄,箱信(天津)国际货运代理有限公司,"民营
         
          300-499人
         
          货运/物流/仓储"
车源销售+双休+五险一金(J31342),6000-12000元,"销售
电话销售",无经验,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
太 缺 人了/无考核/面试完就上班,1-1.3万,"没有绩效考核
不加班
工作环境优越",经验不限,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
车险续保客服（五险双休）,3000-6000元,"客服
销售",经验不限,学历不限,天津·蓟州·文昌,阳光财产保险股份有限公司6,"上市公司
         
          10000人以上
         
          保险"
车源销售+双休五险一金(J34605),6000-8000元,,无经验,中专/中技,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
胖东来待遇/无责7K/轻松月入过万,8000-11000元,"工作氛围轻松
全靠自觉
办公室坐班",经验不限,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
企业助贷电话销售,6000-10000元,"互联网金融
企业客户（2B）
知识产权/专利
基金业务",1-3年,大专,天津·和平·南市,津掘者(天津)企业管理咨询服务有限公司,"民营
         
          20-99人
         
          咨询服务"
公司提供客源-坐班销售（MJ025499）,7000-10000元,"KA大客户
企业客户
个人客户",经验不限,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
🚀 岗位：互联网电销管培生（不是助贷 + 线下培养）,6000-12000元,"企业客户
个人客户
KA大客户
云智汇创期待你的面试",无经验,学历不限,天津·河东·上杭路,云智汇创(天津)科技有限公司,"民营
         
          20-99人
         
          互联网"
底薪7000！！早九晚六+无KPI+不加班,7000-12000元,办公室坐班,无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
销售顾问(双休五险一金+带薪年假)(J33352),7000-10000元,"KA大客户
企业客户
个人客户",1年以下,大专,天津·西青·西营门,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
不需要谈单的销售+不地推+高客单价,7000-13000元,"企业客户
医疗机构
KA大客户
接受打电话",经验不限,学历不限,天津·河东·上杭路,云智汇创(天津)科技有限公司,"民营
         
          20-99人
         
          互联网"
坐班电话销售--固定双休,8000-15000元,企业客户,1-3年,大专,天津·西青·精武镇,天津硕讯科技有限公司河北分公司,"民营
         
          100-299人
         
          计算机硬件"
五险一金双休售后客服(J34660),4000-8000元,售后客服,无经验,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
电话销售(工业客户）,5000-7000元,企业客户,无经验,大专,天津·西青·精武镇,天津市丽景微电子设备有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
底薪4500起➕六日固定双休➕TOB销售,5000-10000元,"企业客户
院校客户
政府客户",1-3年,大专,天津·西青·精武镇,天津硕讯科技有限公司河北分公司,"民营
         
          100-299人
         
          计算机硬件"
优信拍买家电销-五险一金-法定都休(J32706),5000-10000元,电话销售,无经验,中专/中技,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
电话专员+五险一金,5000-7000元,,经验不限,大专,天津·武清·运河西,天津汇联信诚人力资源服务有限公司,"民营
         
          20人以下
         
          人力资源服务"
固定六日双休------电话销售（无责4K+起）,8000-14000元,"KA大客户
电话销售
网络销售",1-3年,大专,天津·西青·精武镇,天津硕讯科技有限公司河北分公司,"民营
         
          100-299人
         
          计算机硬件"
大厂直招销售岗 五险一金 高低温补贴+餐补(J32892),7000-12000元,,无经验,中专/中技,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
电话销售,1-2万,,经验不限,学历不限,天津·静海·大丰堆,天津鸿沣钢铁有限公司,"民营
         
          20-99人
         
          钢铁/有色金属冶炼及加工"
电话销售（近地铁3号线）,6000-12000元,"企业客户
政府客户
院校客户
电话销售经验
挖掘客户需求能力",1-3年,大专,天津·西青·精武镇,天津硕讯科技有限公司河北分公司,"民营
         
          100-299人
         
          计算机硬件"
销售客服-LBG(J30565),5000-8000元,,无经验,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
货运代理销售员,5000-10000元·13薪,"课程销售
外贸销售
货代销售",无经验,大专,天津·河西·大营门,天津海诚志运国际货运代理有限公司,"20-99人
         
          货运/物流/仓储"
电话销售,4000-6000元,邀约专员,1-3年,大专,天津·北辰·普东,包头中升丰田汽车销售服务有限公司,"上市公司
         
          1000-9999人
         
          零售/批发"
天津汽车行业电话销售+五险一金+分配客户(J29375),6000-12000元,企业客户,无经验,中专/中技,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
汽车DCC专员,4000-6000元,,1-3年,中专/中技,天津·滨海新区·大沽,天津滨海新区和凌雷克萨斯汽车服务有限公司,"合资
         
          20-99人
         
          汽车研发/制造"
课程顾问—底薪5k试用期不打折，五险一金,1.2-1.8万,,经验不限,大专,天津·南开·兴南,天津道丞育信息咨询有限公司,"股份制企业
         
          20-99人
         
          学校/学历教育"
天津：电话销售-五险一金，提供住宿班车(J35049),5000-6000元,,无经验,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
家政电话销售-培训课程顾问,6000-12000元,,无经验,初中及以下,天津·津南·咸水沽,天津壹佰家政服务有限公司,"100-299人
         
          家政服务"
课程销售专员（精准客户，五险一金）,1.2-1.8万,,经验不限,大专,天津·南开·兴南,天津道丞育信息咨询有限公司,"股份制企业
         
          20-99人
         
          学校/学历教育"
电销团队主管(J35161),9000-15000元,"电话销售
销售管理经验
二手车",无经验,大专,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
电话销售 团体标准招商 双休 不加班 （武清）,7000-10000元,"会议/展览
人工智能
物联网
广告行业
教育培训",1年以下,学历不限,天津·武清·杨村,悦野文化传播(北京)有限公司,"社会团体
         
          20-99人
         
          会议/展览"
红旗4S店邀约专员,5000-10000元,,经验不限,学历不限,天津·北辰·双街,捷通达,"民营
         
          1000-9999人
         
          汽车研发/制造"
会说话就能干的销售岗-五险一金(J29375),7000-14000元,"TO B
电销",经验不限,中专/中技,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
