职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
电话销售（周末双休）,2000-4000元,"KA大客户
企业客户
政府客户",经验不限,学历不限,天津·滨海新区·新河,深圳市明之芯电子科技有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
车险客服（电话销售）,4000-8000元,"企业客户
个人客户
销售
客服
电话",经验不限,学历不限,天津·蓟州·文昌,阳光财产保险股份有限公司6,"上市公司
         
          10000人以上
         
          保险"
电话客服专员,5000-10000元,"企业客户
医疗机构
个人客户",经验不限,学历不限,天津·北辰·果园新村,新域引流(天津)信息技术有限公司,"其它
         
          20-99人
         
          电气机械/电力设备"
线上销售顾问,3000-5000元,电话销售,经验不限,大专,天津·滨海新区·杭州道,北京华胜锐盈科技有限公司,"100-299人
         
          IT服务"
车险客服（电话销售）,4000-8000元,"企业客户
个人客户
销售
客服
电话",经验不限,学历不限,天津·宝坻·钰华,阳光财产保险股份有限公司6,"上市公司
         
          10000人以上
         
          保险"
电话销售,5000-10000元,"企业客户
医疗机构
个人客户",经验不限,中专/中技,天津·北辰·果园新村,新域引流(天津)信息技术有限公司,"其它
         
          20-99人
         
          电气机械/电力设备"
电话销售8K,5000-10000元,"电话客服、客服专员、热线客服
呼入客服、呼出客服、电销客服
车险客服、电商客服、金融客服
电信客服、物流客服、企业客服中心
个人客户",经验不限,大专,天津·西青·张家窝,天津汇聚人力资源服务有限公司,"民营
         
          1000-9999人
         
          咨询服务"
售前客服,5000-8000元,个人客户,经验不限,学历不限,天津·南开·广开,天津市和平区坦途早知道培训学校有限公司,"民营
         
          300-499人
         
          培训/辅导服务"
销售专员（双休+五险一金+节日礼品）,7000-14000元,"电话销售
销售专员
渠道销售",经验不限,学历不限,天津·滨海新区·杭州道,振兴伟业财税服务(天津)有限公司,"其它
         
          20-99人
         
          财务/审计/税务"
世界500强企业！营销专员！免费下午茶！,8000-12000元,"呼叫热线客服
在线客服 / 电话客服/网络客服
接听客服/投诉客服/外呼客服
企业客户
个人客户
KA大客户",1-3年,学历不限,天津·西青·张家窝,天津汇聚人力资源服务有限公司,"民营
         
          1000-9999人
         
          咨询服务"
你来我就招（不加班 无KPI 无责7K）,6000-10000元,"没有绩效考核
交通便利 近地铁
5A办公区",无经验,学历不限,天津·南开·万兴,亿嘉信息咨询(天津)有限公司,"其它
         
          20-99人
         
          互联网金融/小额贷款"
电话销售,3000-5000元,院校客户,经验不限,大专,天津·津南·双港,天津威恳德测控设备技术有限公司,"民营
         
          20-99人
         
          仪器仪表制造"
汽车电话邀约专员,4000-6000元,,1-3年,中专/中技,天津·滨海新区·大沽,天津滨海新区和凌雷克萨斯汽车服务有限公司,"合资
         
          20-99人
         
          汽车研发/制造"
电话销售,6000-12000元,,经验不限,高中,天津·南开·水上公园,东方梅地亚影视传媒(天津)有限公司,"民营
         
          20人以下
         
          广播/影视"
诚招销售人员无责底薪6800,6000-12000元,"物流仓储
KA大客户
企业客户
医疗机构",经验不限,大专,天津·西青·张家窝,跨越速运,"民营
         
          10000人以上
         
          货运/物流/仓储"
电话销售,6000-9000元,"KA大客户
企业客户
个人客户",1-3年,大专,天津·西青·张家窝,天津世纪鼎机械科技有限公司,"20-99人
         
          电气机械/电力设备"
电话销售,5000-10000元,"企业客户
医疗机构
个人客户",经验不限,大专,天津·北辰·果园新村,天津长荣伟业超音波科技有限公司,"民营
         
          20-99人
         
          电气机械/电力设备"
天津各区招销售专员无责底薪6800+提成,8000-12000元,"企业客户
个人客户
院校客户",1-3年,大专,天津·武清·徐官屯,跨越速运,"民营
         
          10000人以上
         
          货运/物流/仓储"
电销专员,7000-9000元,"KA大客户
企业客户
院校客户",经验不限,中专/中技,天津·河东·大直沽,天津市河北区腾辉救援装备科技有限公司,"20人以下
         
          专业技术服务"
车险续费办公室坐席+入职快,8000-12000元,个人客户,经验不限,高中,天津·河东·大王庄,上海吾道信息科技有限公司,"民营
         
          1000-9999人
         
          咨询服务"
电话外呼客服专员,5000-8000元,个人客户,经验不限,学历不限,天津·武清·徐官屯,天津雍恒智雅网络科技有限公司,"民营
         
          20-99人
         
          在线教育"
应届生+包住宿+销售,8000-10000元,,无经验,学历不限,天津·河东·春华,天津未来环保科技有限公司,"股份制企业
         
          100-299人
         
          环保"
五险一金/车险续保坐席 7000+,9000-13000元,个人客户,经验不限,大专,天津·河东·大王庄,上海吾道信息科技有限公司,"民营
         
          1000-9999人
         
          咨询服务"
招了一个小白，本姑娘亲自带的销售岗(MJ025536),7000-12000元,"企业客户
个人客户
有培训师父带",经验不限,学历不限,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
销售专员,3000-6000元,"销售专员
个人客户
KA大客户",1-3年,中专/中技,天津·静海·静海镇,天津市静海区泓皓供应链服务有限公司,"20人以下
         
          物联网"
车险续费坐席+入职快,8000-12000元,个人客户,经验不限,高中,天津·河东·大王庄,上海吾道信息科技有限公司,"民营
         
          1000-9999人
         
          咨询服务"
电话销售,5000-10000元,企业客户,1-3年,大专,天津·津南·双港,天津市欧达法斯克制冷设备有限公司,"民营
         
          20-99人
         
          通用设备制造"
车源销售+双休+五险一金+包住有班车(J32892),7000-12000元,,无经验,中专/中技,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
五险一金/办公室车险内勤+月入7000+,9000-13000元,个人客户,经验不限,中专/中技,天津·武清·东蒲洼,上海吾道信息科技有限公司,"民营
         
          1000-9999人
         
          咨询服务"
信用卡账单分期客服,8000-12000元,个人客户,1-3年,中专/中技,天津·南开·学府,北京建投科信科技发展股份有限公司,"国企
         
          1000-9999人
         
          银行"
双休坐班电话销售-班车住宿-五险一金(J29375),6000-12000元,"电话销售
汽车
销售",无经验,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
海运电话销售,5000-8000元,,经验不限,学历不限,天津·和平·小白楼,天津瀚峰国际货运代理有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
电销/五险一金无责底薪6-8k,6000-8000元,"KA大客户
电话销售
销售经理",1-3年,本科,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
食宿 双休五险一金电话销售岗 (J34605),5000-8000元,二手车商,经验不限,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
【0 经验可投 + 00 后氛围】互联网电销小白班，主管手把手带！,6000-12000元,"企业客户
KA大客户
个人客户",无经验,学历不限,天津·河东·上杭路,云智汇创(天津)科技有限公司,"民营
         
          20-99人
         
          互联网"
客拓销售专员/经理（五险一金/无责底薪5-10k）,1-1.5万,"电话销售
线上销售
客服销售
KA大客户
企业客户",1-3年,本科,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
天津-电话销售(J27956),5000-10000元,"电话销售
客服
销售经验",经验不限,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
SaaS软件销售,4000-7000元,,经验不限,大专,天津·南开·学府,天津盛世友联科技有限公司,"民营
         
          20-99人
         
          互联网"
双休+五险一金+无责底薪+电话销售,7000-8000元,"企业客户
KA大客户",1-3年,大专,天津·滨海新区·北塘,长江君业产融物联技术(天津)有限公司,"民营
         
          20-99人
         
          电子商务"
高薪销售-食堂宿舍有双休（MJ025499）,7000-10000元,"KA大客户
企业客户
个人客户",经验不限,高中,天津·滨海新区·杭州道,北京五八信息技术有限公司,"合资
         
          10000人以上
         
          互联网"
弱电电销主管,6000-8000元,"企业客户
电销",1-3年,本科,天津·西青·西营门,爱谱华顿,"合资
         
          1000-9999人
         
          电子/半导体/集成电路"
电话销售（五险一金/周末双休）,8000-16000元,企业客户（2B）,经验不限,学历不限,天津·河东·上杭路,天津市百川惠赢信息技术咨询服务有限公司,"民营
         
          20人以下
         
          咨询服务"
