快递员就近安排0元入职,7000-9000元,包住,经验不限,学历不限,重庆·渝北,重庆京丹达物流有限公司,"20-99人
         
          货运/物流/仓储",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外卖骑手300-400/天包吃住全职兼职都可以,8000-10000元,"包吃住
饿了么
包住
可预支薪水
高温补贴
底薪加提成
节日福利",经验不限,学历不限,武汉·武昌,武汉鑫阳通企业管理有限公司,"民营
         
          100-299人
         
          餐饮服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无套路连锁0押金司机6-9K,6000-9000元,C1驾驶证,经验不限,学历不限,珠海·金湾区·三灶镇,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
槟榔配送员+车住全包+家附近上班,7000-8000元,"包住
可预支薪水
高温补贴
节日福利
底薪加提成",经验不限,学历不限,衡阳·雁峰区·白沙洲街道,湖南鑫泰软网络科技有限公司,"500-999人
         
          互联网",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加班不如外卖送餐/包吃住300/天,9000-11000元,"会骑电动车
会骑摩托车
无犯罪记录
送餐员",经验不限,学历不限,武汉·汉阳·江汉二桥,武汉立速直达物流配送有限公司,"其它
         
          100-299人
         
          零售/批发",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新能源小车保底6000直招司机,6000-9000元,C1驾驶证,经验不限,学历不限,珠海·香洲区·翠香街道,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曹操公司直招，急聘司机,6000-12000元,"C1驾驶证
网络预约出租汽车运输证
网络预约出租汽车驾驶员证",3-5年,学历不限,南京·栖霞·燕子矶,南京永皓达汽车科技有限公司,"民营
         
          500-999人
         
          租赁服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务管理,1.5-2.5万·16薪,"资金管理
会计中级职称
CTA注册税务师
会计高级职称
总账管理
经费管理
信息化建设
财务内控",10年以上,硕士,北京·朝阳·朝外,北京外企人力资源服务有限公司,"国企
         
          1000-9999人
         
          人力资源服务",已上市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自由安排接送乘客招C1C2司机,6000-9000元,C1驾驶证,经验不限,学历不限,广州·番禺·南村,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销售经理,面议,"企业客户
面销/陌拜
区域销售",3-5年,本科,蚌埠·蚌山区·胜利街道,四川久远智能消防设备有限责任公司,"股份制企业
         
          1000-9999人
         
          电子/半导体/集成电路",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
