订单多-急聘产康师工资高时间自由,8000-15000元,就近分配,经验不限,学历不限,西安·未央·张家堡,西安每城每家生活服务有限公司,"民营
         
          20-99人
         
          居民服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新乡/周末双休/不加班/五险一金,6000-12000元,"销售专员
面销/陌拜
电话销售",1-3年,大专,新乡·红旗区·洪门镇,中国平安人寿保险股份有限公司河南分公司3,"上市公司
         
          1000-9999人
         
          保险",已上市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实施工程师,6000-9000元,硬件实施,1-3年,大专,沈阳·铁西·大潘,沈阳微控飞轮技术股份有限公司,"民营
         
          100-299人
         
          新能源",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不要觉得外卖苦，想想你的大路虎,7000-9000元,"公司提供电动车/摩托车
餐饮外卖
酒水饮料
生鲜蔬果
无驾照要求
会骑电动车
无犯罪记录",经验不限,学历不限,杭州·上城·望江,湖北梓桓信息有限公司,"上市公司
         
          100-299人
         
          货运/物流/仓储",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
监控员夜班不能睡觉,2000-3000元,,经验不限,学历不限,沈阳·和平·南市场,沈阳市金盾报警保安服务有限公司,"国企
         
          20-99人
         
          互联网",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月入过万平台司机,8000-12000元,"C1驾照
C2驾照",经验不限,学历不限,南京·栖霞·燕子矶,南京永皓达汽车科技有限公司,"民营
         
          500-999人
         
          租赁服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W家具厂操作工年底结清包吃住,7000-9000元,"体检免费
包住
恒温车间
长白班
月休四天
周结
日结
月结
包装工
组装工
检验员",经验不限,学历不限,绍兴·越城区·沥海街道,武汉昆仑人力资源有限公司,"其它
         
          500-999人
         
          人力资源服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自由安排接送乘客招C1C2司机,6000-9000元,C1驾驶证,经验不限,学历不限,深圳·南山·招商,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专车接送司机短期保底6000,6000-9000元,C1驾驶证,经验不限,学历不限,珠海·香洲区·拱北街道,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出纳,5000-6000元,"会计初级职称
会计从业资格证书
周末双休
出纳经验",经验不限,本科,深圳·福田·莲花,深圳市诗航商务发展有限公司,"民营
         
          300-499人
         
          专业技术服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美团服务运营-本地生活,面议,,1-3年,本科,北京,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网",互联网100强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
会计主管,8000-10000元,,5-10年,本科,天津·东丽·华明,康升环保(天津)有限公司,"民营
         
          20-99人
         
          环保",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文秘,7000-9000元·13薪,"公文写作
会务活动
后勤管理
法定节假日休
周末双休
体检免费
晋升空间大
绩效奖金
韩语
俄语
德语",1-3年,大专,重庆·渝中·解放碑,重庆安于诺财税服务有限公司,"民营
         
          100-299人
         
          财务/审计/税务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都美团外卖骑手就近分配+260一天+站点直招+提供车住+可预支,面议,"公司提供电动车/摩托车
餐饮外卖
会骑电动车
熟练使用导航
美团
饿了么",经验不限,学历不限,成都·武侯·火车南站,北京三快在线科技有限公司,"上市公司
         
          10000人以上
         
          互联网",互联网100强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新能源小车保底6000直招司机,6000-9000元,C1驾驶证,经验不限,学历不限,深圳·龙华·龙华,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地质工程师,8000-11000元,矿山地质,3-5年,大专,乌鲁木齐·水磨沟区·六道湾街道,福建华业工程建设有限公司,"民营
         
          1000-9999人
         
          工程施工",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西安招募外卖骑手0元入职0押金就近分配,7000-9000元,"公司提供电动车/摩托车
就近分配
0元入职
食品健康证
送水
餐饮外卖
酒水饮料
生鲜蔬果
送东西
会骑电动车
无犯罪记录
熟练使用导航",经验不限,学历不限,西安·雁塔·杜城,苏州威沃网络科技有限公司,"民营
         
          1000-9999人
         
          货运/物流/仓储",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五险一金溜达岗,1-2万,,经验不限,学历不限,石家庄·裕华·槐底,河北冀豫人力资源服务有限公司,"100-299人
         
          人力资源服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0元直招送餐员免费提供车住生活费,6000-10000元,"公司提供电动车/摩托车
自带电动车/摩托车
无驾照要求",经验不限,学历不限,武汉·武昌,武汉立速直达物流配送有限公司,"其它
         
          100-299人
         
          零售/批发",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外贸业务员（服装）,7000-13000元,"外贸销售
英语
欧洲市场",1-3年,本科,杭州·拱墅·祥符,杭州楚帛时装有限公司,"民营
         
          20-99人
         
          贸易/进出口",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外资运动潮牌导购/六险一金,6000-7000元,"女装店
男装店
门店销售
五险一金
节日福利",1年以下,高中,上海·浦东·川沙新,汾阳市汇源科技有限公司,"民营
         
          20-99人
         
          企业服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
急聘机场专线商务司机,5000-10000元·13薪,商务司机,经验不限,初中及以下,南京·栖霞·燕子矶,南京永皓达汽车科技有限公司,"民营
         
          500-999人
         
          租赁服务",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,唐美红·人事经理,高回复率,立即投递,唐美红·人事经理,,,,,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,佛山·禅城·祖庙,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",高回复率,立即投递,直招日结小车司机保底6000,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,直招日结小车司机保底6000,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,佛山·禅城·祖庙,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,唐美红·人事经理,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,佛山·禅城·祖庙,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",高回复率,立即投递,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,"https://rd5-public.zhaopin.cn/imgs/avatar_m3.png?x-oss-process=image/resize,l_240/rotate,0",,,7000-13000元,"外贸销售
英语
欧洲市场",外贸销售,1-3年,本科,杭州·拱墅·祥符,http://www.zhaopin.com/companydetail/CC213054413.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,杭州楚帛时装有限公司,"民营
         
          20-99人
         
          贸易/进出口",谢小姐·行政人事,刚刚活跃,立即投递,西安·雁塔·杜城,http://www.zhaopin.com/jobdetail/CCL1491780650J40974412304.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,西安招募外卖骑手0元入职0押金就近分配,7000-9000元,"公司提供电动车/摩托车
就近分配
0元入职
食品健康证
送水
餐饮外卖
酒水饮料
生鲜蔬果
送东西
会骑电动车
无犯罪记录
熟练使用导航",经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1759993293399608494/149178065.png,http://www.zhaopin.com/companydetail/CZL1491780650.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,苏州威沃网络科技有限公司,"民营
         
          1000-9999人
         
          货运/物流/仓储","https://storage-public.zhaopin.cn/user/avatar/1764586613495009161/YQzY9ieM5wKrNSaice42a83346b5bbdd7a9d38e3121739f0.jpg?x-oss-process=image/resize,l_240/rotate,0",汪女士·人事经理,15分钟内回复可能性大,立即投递,
,,,,,,,,唐美红·人事经理,高回复率,立即投递,唐美红·人事经理,,,,,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,佛山·禅城·祖庙,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",高回复率,立即投递,直招日结小车司机保底6000,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,直招日结小车司机保底6000,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,佛山·禅城·祖庙,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,唐美红·人事经理,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,佛山·禅城·祖庙,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",高回复率,立即投递,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,"https://rd5-public.zhaopin.cn/imgs/avatar_m3.png?x-oss-process=image/resize,l_240/rotate,0",,,7000-13000元,"外贸销售
英语
欧洲市场",外贸销售,1-3年,本科,杭州·拱墅·祥符,http://www.zhaopin.com/companydetail/CC213054413.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,杭州楚帛时装有限公司,"民营
         
          20-99人
         
          贸易/进出口",谢小姐·行政人事,刚刚活跃,立即投递,石家庄·裕华·槐底,http://www.zhaopin.com/jobdetail/CCL1348071930J40814334807.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,五险一金溜达岗,1-2万,,经验不限,学历不限,,http://www.zhaopin.com/companydetail/CZL1348071930.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,河北冀豫人力资源服务有限公司,"100-299人
         
          人力资源服务","https://storage-public.zhaopin.cn/user/avatar/1745288132554872690/1a5d7eb3-60cf-4e9c-b394-cca67235ca18.png?x-oss-process=image/resize,l_240/rotate,0",张女士·招聘专员,高回复率,立即投递,
,,,,,,,,唐美红·人事经理,高回复率,立即投递,唐美红·人事经理,,,,,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,佛山·禅城·祖庙,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",高回复率,立即投递,直招日结小车司机保底6000,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,直招日结小车司机保底6000,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,佛山·禅城·祖庙,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,唐美红·人事经理,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,佛山·禅城·祖庙,经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",高回复率,立即投递,http://www.zhaopin.com/jobdetail/CCL1495269160J40832690005.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,直招日结小车司机保底6000,6000-9000元,C1驾驶证,C1驾驶证,经验不限,学历不限,佛山·禅城·祖庙,https://storage-public.zhaopin.cn/org/logo/1750160247612299744/149526916.png,http://www.zhaopin.com/companydetail/CZL1495269160.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,东莞市晨祥汽车租赁有限公司,"20人以下
         
          客运服务","https://rd5-public.zhaopin.cn/imgs/avatar_f1.png?x-oss-process=image/resize,l_240/rotate,0",唐美红·人事经理,高回复率,立即投递,"https://rd5-public.zhaopin.cn/imgs/avatar_m3.png?x-oss-process=image/resize,l_240/rotate,0",,,7000-13000元,"外贸销售
英语
欧洲市场",外贸销售,1-3年,本科,杭州·拱墅·祥符,http://www.zhaopin.com/companydetail/CC213054413.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,杭州楚帛时装有限公司,"民营
         
          20-99人
         
          贸易/进出口",谢小姐·行政人事,刚刚活跃,立即投递,武汉·武昌,http://www.zhaopin.com/jobdetail/CCL1345708430J40859662212.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,0元直招送餐员免费提供车住生活费,6000-10000元,"公司提供电动车/摩托车
自带电动车/摩托车
无驾照要求",经验不限,学历不限,https://storage-public.zhaopin.cn/org/logo/1636358778111403767/123.png,http://www.zhaopin.com/companydetail/CZL1345708430.htm?refcode=4019&srccode=401903&preactionid=2ce489c1-dea5-4205-837b-91f7baabb519,武汉立速直达物流配送有限公司,"其它
         
          100-299人
         
          零售/批发","https://storage-public.zhaopin.cn/user/avatar/1757578319616472257/1290760ca7d54dc59000f90cf7eba0e1/zhilian_avatar-1757578311772-7277.jpg?x-oss-process=image/resize,l_240/rotate,0",夏威·人事经理,11分钟前回复,立即投递,
