职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
销售外勤（北京区域）,6000-10000元·14薪,"销售管理
电话销售
销售工程师
大客户销售
生物试剂销售
化工销售
政府客户",1-3年,本科,天津·滨海新区·泰达,天津阿尔塔科技有限公司,"民营
         
          100-299人
         
          医药制造"
外贸跨境B2B大客户经理,1-1.5万,"销售
地推
2B
面销/陌拜",1-3年,大专,天津·南开·学府,星启航(天津)电子商务有限公司,"民营
         
          20人以下
         
          电子商务"
oem销售,5000-7000元·13薪,,经验不限,大专,天津·滨海新区·海滨,天津杰士电池有限公司,"合资
         
          500-999人
         
          金属制品业"
高级业务经理,1.1-2万,工业水,5-10年,大专,天津·西青·中北,天津诚信环球节能环保科技有限公司,"民营
         
          100-299人
         
          环保"
生鲜客户经理,8000-12000元,面销/陌拜,无经验,本科,天津·东丽·新立,牧原股份,"上市公司
         
          10000人以上
         
          农/林/牧/渔"
ka大客户销售代表 贝壳找房大平台 为客户提供购房方案,8000-16000元,"渠道销售
面销/陌拜
区域销售",经验不限,学历不限,天津·滨海新区·大沽,贝壳找房(北京)科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
大客户销售经理,7000-13000元·13薪,"重卡销售
新能源重卡
大客户经验",1-3年,大专,天津·河西·友谊路,三一集团有限公司,"民营
         
          10000人以上
         
          专用设备制造"
【双休 五险一金】大客户经理,6000-10000元,建材,经验不限,学历不限,天津·东丽·张贵庄,天津市国威给排水设备制造有限公司,"民营
         
          100-299人
         
          电气机械/电力设备"
客户代表 轻松月入三万 贝壳找房平台 无责底薪+五险一金+提成,8000-16000元,"渠道销售
区域销售
面销/陌拜",经验不限,学历不限,天津·滨海新区·大沽,贝壳找房(北京)科技有限公司,"上市公司
         
          10000人以上
         
          互联网"
广告大客户代表/双休/五险一金,5000-10000元,"渠道销售
面销/陌拜",经验不限,学历不限,天津·西青·张家窝,天津金港文化传媒有限公司,"民营
         
          20-99人
         
          广告/营销"
销售大区经理,6000-12000元,,1-3年,大专,天津·东丽·华明,天津蔓成科技有限公司,"民营
         
          20人以下
         
          矿产/采掘"
销售助理,5000-6000元,"电子/半导体
企业客户
全国",1-3年,大专,天津·河西·下瓦房,天津市风磊电子有限公司,"民营
         
          20-99人
         
          电子/半导体/集成电路"
高级营销经理,1.3-2.5万,"政府客户
TOG",3-5年,大专,天津·河西·友谊路,上海恒实环保能源(集团)有限公司四川分公司,"民营
         
          100-299人
         
          环保"
大客户开发经理/五险一金/双休法休,2-3万,区域销售,3-5年,大专,天津·河东·向阳楼,万古人力科技集团有限公司,"民营
         
          20-99人
         
          人力资源服务"
系统集成销售经理,8000-13000元,"软件行业
互联网行业",1-3年,大专,天津·河西·大营门,天津市盛为创新科技股份有限公司,"股份制企业
         
          20-99人
         
          IT服务"
大客户销售专员,5000-10000元,"渠道销售
面销/陌拜
区域销售",经验不限,学历不限,天津·西青·西营门,天津日辉企业服务有限公司,"100-299人
         
          企业服务"
大客户销售+4200底薪,1.1-1.2万,大客户（KA）,1-3年,大专,天津·西青·西营门,众赢(天津)数字科技有限公司,"100-299人
         
          咨询服务"
b端大客户代表,8000-16000元,"面销/陌拜
政企线上采购
B2B
集采",1-3年,大专,天津·北辰·宜兴埠,山西融和通商贸有限公司,"民营
         
          300-499人
         
          企业服务"
大客户代表,6000-9000元,,1-3年,大专,天津·西青·西营门,天津日辉企业服务有限公司,"100-299人
         
          企业服务"
塑料销售经理,1-2万·13薪,区域销售,5-10年,大专,天津·静海·子牙,TCL奥博(天津)环保发展有限公司,"民营
         
          300-499人
         
          环保"
区域销售（教育大数据）,8000-12000元,"区域销售
高校客户",5-10年,大专,天津·西青·西营门,竞业达,"股份制企业
         
          500-999人
         
          计算机硬件"
业务经理/总监（团队引进）,1-2万,渠道销售,5-10年,大专,天津·滨海新区·泰达,厦门象屿股份有限公司,"国企
         
          1000-9999人
         
          贸易/进出口"
大客户销售经理,5000-10000元,"渠道销售
代理商销售
区域销售",3-5年,大专,天津·津南·咸水沽,广东联利科技有限公司,"其它
         
          20-99人
         
          化学原料/化学制品"
业务经理,6000-12000元,"面销/陌拜
会议/会展销售
适应出差",3-5年,大专,天津·和平·小白楼,魏桥智行(黄骅)专用车有限公司,"民营
         
          300-499人
         
          汽车研发/制造"
钢材业务经理,8000-15000元,,3-5年,大专,天津·滨海新区·杭州道,厦门象屿股份有限公司,"国企
         
          1000-9999人
         
          贸易/进出口"
大客户开发总监+五险一金,1-1.5万,大客户（KA）,3-5年,大专,天津·武清·东蒲洼,天津恒佳企业管理服务有限公司,"上市公司
         
          300-499人
         
          房地产中介"
大客户销售经理/电子制造行业,1.2-1.5万,渠道销售,经验不限,学历不限,天津·武清·东蒲洼,北京海纳精益科技有限公司,"民营
         
          20-99人
         
          电子设备制造"
