职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
行政专员,8000-10000元,,1-3年,大专,天津·河西·挂甲寺,威海坤阙网络科技服务有限公司,"20人以下
         
          互联网"
研发部内勤,4000-7000元,"接待事务
内勤管理
后勤管理",1-3年,本科,天津·西青·精武镇,允公致远(天津)新能源科技有限公司,"民营
         
          20-99人
         
          新能源"
后台/年终奖/无销售8000+,7000-14000元,"五险一金
有年终奖
无销售性质",经验不限,大专,天津·和平·小白楼,四川思贤企业管理咨询有限公司,"其它
         
          100-299人
         
          咨询服务"
行政助理双休,6000-8000元,"接待事务
内勤管理
企业文化",1-3年,学历不限,天津·和平·五大道,四川嘉才驿人力资源有限公司,"20-99人
         
          人力资源服务"
行政专员/助理,4000-5000元,,1-3年,本科,天津·南开·万兴,企服星(天津)生产力促进有限公司,"民营
         
          20-99人
         
          咨询服务"
综合部行政专员（上8：30-下17：00，双休，国企外包岗）,5000-7000元,"内勤管理
接待事务
后勤管理",3-5年,本科,天津·滨海新区·塘沽,昀通(天津)人力资源服务有限公司,"民营
         
          20-99人
         
          人力资源服务"
行政助理双休,6000-8000元,"接待事务
内勤管理
企业文化",1-3年,学历不限,天津·河北·光复道,四川嘉才驿人力资源有限公司,"20-99人
         
          人力资源服务"
职能部门文员,4000-6000元,"办公自动化
固定资产管理
资料管理
物业管理",3-5年,本科,天津·河北·光复道,天津峥嵘物业管理有限公司,"民营
         
          1000-9999人
         
          物业管理"
行政文员,4000-7000元,,经验不限,大专,天津·河东·春华,天津聚鑫服务贸易有限公司,"股份制企业
         
          100-299人
         
          快速消费品"
行政专员,5000-10000元,"内勤管理
企业文化
采购事务",经验不限,大专,天津·滨海新区·杭州道,信和国际物流(北京)有限公司,"民营
         
          20-99人
         
          货运/物流/仓储"
行政外勤,4000-6000元,"办公自动化
固定资产管理
物业管理
资料管理",1-3年,大专,天津·河北·光复道,天津峥嵘物业管理有限公司,"民营
         
          1000-9999人
         
          物业管理"
