职位,薪水,关键词,工作经验,学历,工作地址,公司,公司情况
行政专员（IT方向）,5000-8000元·13薪,,1-3年,大专,天津·东丽·新立,天津华测检测认证有限公司,"民营
         
          500-999人
         
          检测/认证"
综合商务行政助理,6000-9000元,"接待事务
固定资产管理
采购事务",3-5年,本科,天津·西青·西营门,汇智纳川(天津)企业管理咨询有限公司,"民营
         
          20-99人
         
          咨询服务"
综合服务专员,100-120元/天,,无经验,大专,天津·河北·望海楼,京雄咨询服务集团(雄安)有限公司,"民营
         
          500-999人
         
          咨询服务"
行政助理文员,5000-7000元,"财务经验
采购事务
标书",无经验,本科,天津·滨海新区·大沽,天津滨海新区鸿益机电设备有限公司,"民营
         
          20-99人
         
          石油/石化"
航空办公室行政文员（双休+五险一金）,5000-8000元,"双休
免费安置就业
内勤管理
后勤管理
五险一金/六险二金
接待事务",经验不限,大专,天津·红桥·邵公庄,石家庄劲航人力资源服务有限公司,"100-299人
         
          人力资源服务"
航空办公室行政文员（双休+五险一金）,5000-8000元·13薪,"内勤管理
免费安置就业
五险一金
双休",经验不限,大专,天津·河东·春华,河北华谊航空服务有限公司,"20-99人
         
          人力资源服务"
综合行政专员实习生,100-125元/天,"内勤管理
后勤管理",无经验,本科,天津·南开·兴南,天津争渡信息科技有限公司,"民营
         
          20-99人
         
          计算机软件"
行政专员/助理,6000-8000元·13薪,"后勤管理
固定资产管理
采购事务",1-3年,大专,天津·和平·小白楼,天津铎兴科技有限公司,"民营
         
          100-299人
         
          新零售"
行政文员助理,3000-5000元·13薪,"接待事务
办公软件熟悉
性格开朗",经验不限,大专,天津·西青·李七庄,天津恒瑞通电子科技有限责任公司,"民营
         
          20-99人
         
          通信/网络设备"
综合岗位,4000-6000元,"接待事务
内勤管理
后勤管理",1-3年,大专,天津·西青·张家窝,天津世纪鼎机械科技有限公司,"20-99人
         
          电气机械/电力设备"
行政专员,4000-5000元,"会开车
后勤管理",1-3年,大专,天津·滨海新区·杭州道,天津铭源建筑工程有限公司,"民营
         
          500-999人
         
          专业技术服务"
招商租赁行政助理,5000-7000元,行政助理,1-3年,大专,天津·河西·大营门,凯德商用房产管理咨询(上海)有限公司,"外商独资
         
          1000-9999人
         
          房地产开发"
行政专员,6000-7000元,企业文化,3-5年,本科,天津·东丽·金桥,天津市银博印刷集团有限公司,"民营
         
          100-299人
         
          印刷/包装/造纸"
行政综合管理,1.2-2.2万,,1-3年,大专,天津·和平·小白楼,中美联泰大都会人寿保险有限公司上海分公司,"外商独资
         
          10000人以上
         
          保险"
综合岗位,4000-6000元,"后勤管理
接待事务
企业文化",经验不限,大专,天津·红桥·邵公庄,天津市河北区汇智满商贸发展有限公司,"20-99人
         
          零售/批发"
综合管理岗,6000-9000元,"内勤管理
后勤管理
接待事务",无经验,大专,天津·静海·静海镇,泰康人寿保险有限责任公司天津静海营销服务部(永恒团队),"1000-9999人
         
          保险"
办公室文员,6000-7000元,,1-3年,本科,天津·东丽·华明,世财认证(天津)有限公司,"外商独资
         
          20-99人
         
          检测/认证"
助理,2000-3000元,后勤管理,1-3年,学历不限,天津·西青·大寺,天孚物业,"股份制企业
         
          1000-9999人
         
          房地产开发"
行政专员,4000-6000元,,3-5年,大专,天津·南开·嘉陵道,天津天安新能源科技有限公司,"民营
         
          20-99人
         
          工程施工"
内业,4000-5000元,"助理
行政
文员",1-3年,本科,天津·滨海新区·北塘,天津市森宇建筑技术法律咨询有限公司,"民营
         
          100-299人
         
          咨询服务"
行政专员,7000-9000元,,经验不限,学历不限,天津·南开·兴南,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
行政专员,6000-8000元,,经验不限,学历不限,天津·河西·挂甲寺,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
综合行政专员,5000-8000元,"内勤管理
采购事务
企业文化",1-3年,本科,天津·滨海新区·杭州道,中矿资源(天津)新材料有限公司,"民营
         
          20人以下
         
          新能源"
办公室行政助理,8000-9000元,,经验不限,学历不限,天津·和平·小白楼,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
行政专员,6000-8000元,,经验不限,学历不限,天津·河东·大王庄,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
综合行政专员/主管,4000-7000元,"后勤管理
固定资产管理
采购事务",1-3年,本科,天津·北辰·宜兴埠,华北集团,"民营
         
          1000-9999人
         
          金属制品业"
办公室行政助理,8000-9000元,,经验不限,学历不限,天津·南开·兴南,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
行政专员,6000-8000元,,经验不限,学历不限,天津·南开·广开,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
办公室文员行政助理,3000-6000元,"内勤管理
接待事务
后勤管理",经验不限,大专,天津·滨海新区·泰达,北京德恒律师事务所,"民营
         
          1000-9999人
         
          咨询服务"
行政专员,7000-9000元,,经验不限,学历不限,天津·和平·小白楼,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
行政文员,7000-8000元,,经验不限,学历不限,天津·河东·大王庄,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
行政专员,5000-6000元,"内勤管理
固定资产管理
采购事务",1-3年,大专,天津·武清·东蒲洼,望子(北京)科技有限公司,"民营
         
          20-99人
         
          学校/学历教育"
办公室行政助理,8000-9000元,,经验不限,学历不限,天津·河西·越秀路,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
行政文员,7000-8000元,,经验不限,学历不限,天津·河西·挂甲寺,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
行政专员,3000-6000元,"播音主持专业
内勤管理
接待事务
参观讲解",经验不限,本科,天津·滨海新区·杭州道,一飞智控(天津)科技有限公司,"民营
         
          100-299人
         
          船舶/航空/航天/火车制造"
行政专员,7000-9000元,,经验不限,学历不限,天津·河西·越秀路,成都昱志铭人力资源有限公司,"国企
         
          20-99人
         
          财务/审计/税务"
行政文员,7000-8000元,,经验不限,学历不限,天津·南开·广开,成都友仲诚人力资源有限公司,"民营
         
          20-99人
         
          人力资源服务"
客服部行政文员,4000-5000元,"内勤管理
接待事务",1-3年,大专,天津·滨海新区·新河,天孚物业,"股份制企业
         
          1000-9999人
         
          房地产开发"
行政助理,4000-6000元,"内勤管理
后勤管理
行政管理
文秘助理
接待事务",经验不限,本科,天津·北辰·果园新村,天津市伊恒锦锐文化产业发展有限公司,"民营
         
          20人以下
         
          美发/美容/保健"
综合管理岗,6000-10000元,"接待事务
固定资产管理
采购事务",3-5年,本科,天津·北辰·北仓,通用技术集团机床工程研究院有限公司,"国企
         
          1000-9999人
         
          通用设备制造"
行政专员,4000-6000元,"接待事务
内勤管理
后勤管理",1-3年,本科,天津·宝坻·大白庄,博纳斯威,"民营
         
          100-299人
         
          金属制品业"
物业办公室文员,3000-5000元,后勤管理,经验不限,大专,天津·南开·嘉陵道,天津中聚物业服务有限公司,"民营
         
          20人以下
         
          物业管理"
综合行政文员-实习生,90-100元/天,"内勤管理
采购事务
固定资产管理",无经验,大专,天津·东丽·丰年村,天津医工医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
综合部助理岗,1.5-2万·13薪,企业文化,3-5年,大专,天津·和平·小白楼,中美联泰大都会人寿保险有限公司江苏分公司,"合资
         
          10000人以上
         
          保险"
行政前台本科学历,5000-6000元,,1-3年,本科,天津·滨海新区·杭州道,天津一鸣企业管理服务有限公司,"民营
         
          500-999人
         
          企业服务"
行政,5000-6000元,"固定资产管理
后勤管理",1-3年,大专,天津·津南·双港,中碳国际新能源科技(天津)有限公司,"民营
         
          20-99人
         
          新能源"
行政专员,5000-7000元,"接待事务
后勤管理
固定资产管理",经验不限,本科,天津·滨海新区·塘沽,海油来博(天津)科技股份有限公司,"合资
         
          100-299人
         
          石油/石化"
行政内勤专员,4000-6000元,"内勤管理
接待事务
后勤管理",3-5年,大专,天津·东丽·华明,天津中电华利电器科技集团有限公司,"民营
         
          500-999人
         
          互联网"
行政管理,7000-10000元,"保密管理
安全生产管理",3-5年,本科,天津·滨海新区·北塘,航天彩虹,"上市公司
         
          100-299人
         
          船舶/航空/航天/火车制造"
（09:00-17:00）固定周末双休+六险一金,面议,不加班不内卷,无经验,大专,天津·静海·静海镇,中国平安,"上市公司
         
          10000人以上
         
          银行"
行政人事专员,3000-4000元,内勤管理,1-3年,大专,天津·东丽·华明,天津市腾科自动化设备有限公司,"民营
         
          20-99人
         
          金属制品业"
行政人事专员,3000-4000元,"会开车
五险一金
周末双休",经验不限,大专,天津·河北·望海楼,天津三建建设工程有限公司,"民营
         
          20-99人
         
          工程施工"
店务助理,4000-6000元,"记账
客户咨询
行政管理",1-3年,大专,天津·东丽·华明,天津圣翰优印图文设计制作有限公司,"民营
         
          20-99人
         
          广告/营销"
办公室行政助理,3000-4000元,"接待事务
采购事务
固定资产管理",1-3年,大专,天津·东丽·华明,天津保新达物业服务有限公司,"20-99人
         
          物业管理"
行政专员,4000-6000元,"后勤管理
采购事务
策划组织活动
行政车辆派车",5-10年,大专,天津·河东·大王庄,天津滨德招标代理有限公司,"民营
         
          20-99人
         
          咨询服务"
助理,4000-6000元,"接待事务
内勤管理
后勤管理",1-3年,大专,天津·和平·小白楼,企运(天津)人力资源服务有限公司,"民营
         
          500-999人
         
          人力资源服务"
招聘行政专员（英语）- 知名美资跨国企业,5000-7000元,,经验不限,大专,天津·滨海新区·杭州道,智信服务外包(天津)有限公司,"民营
         
          20人以下
         
          人力资源服务"
境外客服专员,6000-8000元,"在津外籍留学生
国际贸易
海外留学生",经验不限,本科,天津·西青·大寺,天津量传计量检测股份有限公司,"民营
         
          20-99人
         
          检测/认证"
综合行政专员,4000-6000元,"企业文化
后勤管理
采购事务",1-3年,大专,天津·南开·嘉陵道,企运(天津)人力资源服务有限公司,"民营
         
          100-299人
         
          人力资源服务"
行政专员助理（应届生）,3000-5000元,"内勤管理
固定资产管理
后勤管理",1-3年,大专,天津·津南·咸水沽,郑州恒兰进出口贸易有限公司,"股份制企业
         
          20人以下
         
          贸易/进出口"
无需经验前台+包吃住不销售,5000-7000元,"五险
带薪年假
带薪培训
节日福利
接待事务
内勤管理",经验不限,学历不限,天津·南开·鼓楼,江西职棒棒企业管理咨询有限公司南昌分公司,"民营
         
          300-499人
         
          企业服务"
行政后勤专员,3000-4000元·13薪,"接待事务
企业文化
团建
后勤管理",1-3年,大专,天津·西青·辛口,瑞普生物,"上市公司
         
          1000-9999人
         
          医药制造"
行政专员,5000-7000元,"内勤管理
活动组织
来访接待
材料撰写",1-3年,本科,天津·东丽·华明,天津怡和生物科技有限责任公司,"民营
         
          20-99人
         
          生物工程"
综合行政文员,3000-4000元,"内勤管理
采购事务
固定资产管理",3-5年,大专,天津·东丽·丰年村,天津医工医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
综合业务管理员,6000-8000元,"接待事务
后勤管理
采购事务",5-10年,本科,天津·西青·张家窝,天津佳电电机成套设备技术有限公司,"民营
         
          100-299人
         
          电气机械/电力设备"
行政专员,4000-5000元,"内勤管理
接待事务",1-3年,大专,天津·滨海新区·海滨,天津滨海新区煜辉控股集团有限公司,"民营
         
          20-99人
         
          专业技术服务"
档案行政助理,4000-7000元,"行政助理
档案管理
工程资料员",经验不限,大专,天津·西青·张家窝,天津嘉能电力技术有限公司,"民营
         
          20-99人
         
          电力/水利/热力/燃气"
某所助理员,4000-5000元·13薪,助理,经验不限,大专,天津·东丽·军粮城,北京航天万源物业管理有限公司,"国企
         
          500-999人
         
          物业管理"
行政专员,3000-5000元,"熟练使用办公软件
会务活动
接待事务",经验不限,本科,天津·河东·大直沽,上海锦天城(天津)律师事务所,"民营
         
          20-99人
         
          咨询服务"
人事行政实习生,110-150元/天,线下零售,无经验,本科,天津·河西·尖山,红星美凯龙,"上市公司
         
          10000人以上
         
          家具/家居/家电"
部门内勤助理,4000-5000元,"双休
五险一金
环境氛围好
内勤管理
后勤管理",无经验,大专,天津·南开·西营门,天津同阳科技发展有限公司,"股份制企业
         
          300-499人
         
          环保"
综合服务岗,6000-9000元,"固定资产管理
采购事务
后勤管理",1-3年,本科,天津·和平·劝业场,民生人寿保险股份有限公司,"股份制企业
         
          10000人以上
         
          保险"
行政专员,3000-5000元,"资料管理
后勤管理
会开车
大型活动组织经验",1-3年,中专/中技,天津·北辰·宜兴埠,天津永全电器制造有限公司,"外商独资
         
          20-99人
         
          仪器仪表制造"
行政专员,5000-7000元,"内勤管理
接待事务
企业文化",无经验,本科,天津·滨海新区·杭州道,天津市金桥焊材集团股份有限公司,"民营
         
          1000-9999人
         
          金属制品业"
大学实习生(J12635),100-120元/天,"保险内勤
综合内勤
大学实习生
内勤管理
后勤管理",无经验,本科,天津·南开·兴南,华安财产保险股份有限公司,"民营
         
          10000人以上
         
          保险"
前台行政，正常班，六日双休，五险一金，天津分公司,7000-9000元,"前台
行政
文秘",经验不限,本科,天津·河西·越秀路,北京鸿联九五信息产业有限公司,"国企
         
          10000人以上
         
          运营商/增值服务"
行政专员,5000-6000元,"接待事务
车辆管理
宿舍管理",3-5年,大专,天津·滨海新区·古林,天津市正方科技发展有限公司,"股份制企业
         
          500-999人
         
          石油/石化"
内勤助理 双休,3000-5000元,"接待事务
内勤管理",经验不限,本科,天津·河东·春华,华众(天津)科技有限公司,"民营
         
          20人以下
         
          计算机软件"
行政专员,4000-6000元,行政专员,1-3年,大专,天津·南开·水上公园,中利建通(天津)建设工程有限公司,"民营
         
          20人以下
         
          工程施工"
人事行政综合,1.2-2.4万·14薪,,1-3年,大专,天津·和平·小白楼,中美联泰大都会人寿保险有限公司上海分公司,"外商独资
         
          10000人以上
         
          保险"
实习生（河西区）,120-130元/天,,无经验,本科,天津·河西·陈塘庄,天津科技成果转化投资服务有限公司,"国企
         
          20-99人
         
          咨询服务"
办公室专员,4000-5000元,"内勤管理
后勤管理
固定资产管理",3-5年,大专,天津·河北·宁园,天津瀚森物业管理(集团)有限公司,"20人以下
         
          物业管理"
行政专员,6000-8000元·13薪,"接待事务
内勤管理",1-3年,本科,天津·滨海新区·北塘,天津药物研究院,"其它
         
          1000-9999人
         
          科学技术推广"
4500行政文员＋上五休二,4000-5000元,"组织能力协调统筹能力强
有一定写作功底",3-5年,本科,天津·滨海新区·杭州道,爬山虎(成都)科技有限公司,"300-499人
         
          人力资源服务"
航空办公室行政文员（双休+五险一金）,5000-8000元,"后勤管理
免费安置就业
五险一金
双休+节假日三倍薪资",经验不限,中专/中技,天津·河东·春华,河北华谊航空服务有限公司,"20-99人
         
          人力资源服务"
办公文员,3000-4000元,内勤管理,1-3年,大专,天津·滨海新区·北塘,北京华体世纪体育场馆经营管理有限公司天津分公司,"国企
         
          100-299人
         
          文化艺术/娱乐"
综合 行政文员,3000-4000元,"内勤管理
采购事务
固定资产管理",3-5年,大专,天津·东丽·丰年村,天津医工医疗科技有限公司,"民营
         
          20-99人
         
          医疗设备/器械"
行政实习生,80-100元/天,,无经验,本科,天津·武清·大王古庄,保光(天津)汽车零部件有限公司,"合资
         
          100-299人
         
          金属制品业"
主任 助理,4000-6000元,"内勤管理
接待事务
后勤管理",1-3年,本科,天津·南开·鼓楼,天津得安律师事务所,"其它
         
          20-99人
         
          咨询服务"
